case,Description,Default Value,BaseCase2014,BaseCase2015,BaseCase2016,BaseCase2017,BaseCase2018,BaseCase2019,BaseCase2020,BaseCase2021,BaseCase2022,BaseCase2023,BaseCase2024,Supply2015,Supply2016,Supply2017,Supply2018,Supply2019,Supply2020,Supply2021,Supply2022,Supply2023,Supply2024
MinLoad_file,File name of the minimum loading limits to be used in the scenario run,minloadfrac0.csv,,,,,,,,,,,,,,,,,,,,,
Hours_file,File name of the hours in each time block to be used in the scenario run,hours_NREL_India_Baseline.csv,,,,,,,,,,,,,,,,,,,,,
Load_file,File name of the load in each time block to be used in the scenario run,load_NREL_India_Baseline.csv,,,,,,,,,,,,,,,,,,,,,
PeakDemRegion_file,File name of the peak demand by region to be used in the scenario run,peakdem_region_NREL_India_Baseline.csv,,,,,,,,,,,,,,,,,,,,,
PeakDemState_file,File name of the peak demand by state to be used in the scenario run,peakdem_state_NREL_India_Baseline.csv,,,,,,,,,,,,,,,,,,,,,
IVT_file,"File name of the technology, vintage and year combinations file used in the scenario run",ivt.csv,,,,,,,,,,,,,,,,,,,,,
RECapMandate_file,File name of the RE capacity mandate to be used in the scenario run,recap_mandate.csv,,,,,,,,,,,,,,,,,,,,,
RECapFracMandate_file,File name of the non-fossil fractional capacity mandate to be used in the scenario run,recapfrac_mandate.csv,,,,,,,,,,,,,,,,,,,,,
RECapManTech_file,File name of set of technologies that qualify for RE capacity mandate,capmandate_tech_set.csv,,,,,,,,,,,,,,,,,,,,,
REGenMandate_file,File name of the RE generation mandate to be used in the scenario run,regen_mandate.csv,,,,,,,,,,,,,,,,,,,,,
REGenManTech_file,File name of set of technologies that qualify for RE generation mandate,genmandate_tech_set.csv,,,,,,,,,,,,,,,,,,,,,
AbsGrowLim_file,File name of the absolute growth limits for different technologies and states,growth_limit_absolute.csv,,,,,,,,,,,,,,,,,,,,,
GrowthLimTech_file,File name of the technology growth limits for different technologies,growth_limit_by_tech.csv,,,,,,,,,,,,,,,,,,,,,
Trancap_file,File name of the exogenous transmission capacity,trancap.csv,,,,,,,,,,,,,,,,,,,,,
Trancost_file,File name of the maximum transmission capacities and costs for each state,trancost.csv,,,,,,,,,,,,,,,,,,,,,
InterTrancost_file,File name of the transmission cost between states,inter_transcost.csv,,,,,,,,,,,,,,,,,,,,,
CapNonRsc_file,File name of the capacity of non-renewable resources in each state,capnonrsc.csv,,,,,,,,,,,,,,,,,,,,,
CapRsc_file,File name of the capacity of hydropower in each state,caprsc.csv,,,,,,,,,,,,,,,,,,,,,
PrescribedNonRsc_file,File name of the prescribed additions of nonrenewable capacity in each state,prescribednonrsc.csv,,,,,,,,,,,,,,,,,,,,,
PrescribedRsc_file,File name of the prescribed additions of renewable capacity in each state,prescribedrsc.csv,,,,,,,,,,,,prescribedrsc_osw-dpv.csv,prescribedrsc_osw-dpv.csv,prescribedrsc_osw-dpv.csv,prescribedrsc_osw-dpv.csv,prescribedrsc_osw-dpv.csv,prescribedrsc_osw-dpv.csv,prescribedrsc_osw-dpv.csv,prescribedrsc_osw-dpv.csv,prescribedrsc_osw-dpv.csv,prescribedrsc_osw-dpv.csv
CfOut_file,File name of the capacity factors of solar and wind in each resource region and in each season,cfout_2014.csv,,cfout_2015.csv,cfout_2016.csv,cfout_2017.csv,cfout_2018.csv,cfout_2019.csv,cfout_2020.csv,cfout_2021.csv,cfout_2022.csv,cfout_2023.csv,cfout_2024.csv,cfout_2015.csv,cfout_2016.csv,cfout_2017.csv,cfout_2018.csv,cfout_2019.csv,cfout_2020.csv,cfout_2021.csv,cfout_2022.csv,cfout_2023.csv,cfout_2024.csv
RscDat_file,File name of the technical potential capacity of renewable resources (wind and solar) in each state,rsc_dat_2014.csv,,rsc_dat_2015.csv,rsc_dat_2016.csv,rsc_dat_2017.csv,rsc_dat_2018.csv,rsc_dat_2019.csv,rsc_dat_2020.csv,rsc_dat_2021.csv,rsc_dat_2022.csv,rsc_dat_2023.csv,rsc_dat_2024.csv,rsc_dat_2015.csv,rsc_dat_2016.csv,rsc_dat_2017.csv,rsc_dat_2018.csv,rsc_dat_2019.csv,rsc_dat_2020.csv,rsc_dat_2021.csv,rsc_dat_2022.csv,rsc_dat_2023.csv,rsc_dat_2024.csv
numclass,Maximum number of technology classes,4,,,,,,,,,,,,,,,,,,,,,
numhintage,Number of  technology bins to create when grouping units with similar performance characteristics,7,,,,,,,,,,,,,,,,,,,,,
carbonpolicystartyear,First year with carbon policy,2030,,,,,,,,,,,,,,,,,,,,,
retireyear,First year when economic retirements are allowed,2026,,,,,,,,,,,,,,,,,,,,,
REdiversity,Maximum fraction of new VRE investments that can go in any one resource region,0.15,,,,,,,,,,,,,,,,,,,,,
CC/Curtailment Iterations,Iterations between ReEDs and CC/Curtailment modules to calculate Capacity Value and Curtailment convergence,4,,,,,,,,,,,,,,,,,,,,,
GSw_MinCF,Turn minimum CF (capacity factors) for new capacity on [1] or off [0],1,,,,,,,,,,,,,,,,,,,,,
GSw_GrowthRel,Turn relative growth constraint on [1] or off [0],1,,,,,,,,,,,,,,,,,,,,,
GSw_GrowthAbs,Turn absolute growth constraint on [1] or off [0],1,,,,,,,,,,,,,,,,,,,,,
GSw_GrowthLimTech,Turn annual growth limit for techs on [1] or off [0],1,,,,,,,,,,,,,,,,,,,,,
GSw_OpRes,Turn operating reserve constraints on [1] or off [0],1,,,,,,,,,,,,,,,,,,,,,
GSw_OpResTrade,Turn operating reserve trading between regions on [1] or off [0],0,,,,,,,,,,,,,,,,,,,,,
GSw_Refurb,Turn refurbishments on [1] or off [0],1,,,,,,,,,,,,,,,,,,,,,
GSw_PRMregion,Turn regional planning reserve margin on [1] or off [0],0,,,,,,,,,,,,,,,,,,,,,
GSw_PRMstate,Turn state planning reserve margin on [1] or off [0],1,,,,,,,,,,,,,,,,,,,,,
GSw_PRMTrade,Turn planning reserve margin trading between regions [1] or off [0],1,,,,,,,,,,,,,,,,,,,,,
GSw_Storage,Turn all storage on [1] or off [0],1,,,,,,,,,,,,,,,,,,,,,
GSw_CurtStorage,Fraction of storage that counts toward reducing curtailment,1,,,,,,,,,,,,,,,,,,,,,
GSw_StorCC,Turn storage contribution to reserve margin on [1] or off [0],1,,,,,,,,,,,,,,,,,,,,,
GSw_StorOpres,Turn storage contribution to operating reserve on [1] or off [0],1,,,,,,,,,,,,,,,,,,,,,
GSw_CurtFlow,Turn curtailment trading on [1] or off [0],0,,,,,,,,,,,,,,,,,,,,,
GSw_Int_CC,"Select intertemporal capacity credit method (0 = average undifferentiated, 1 = average differentiated, 2 = marginal differentiated)",0,,,,,,,,,,,,,,,,,,,,,
GSw_Int_Curt,"Select intertemporal curtailment method (0=average undifferentiated, 1=average differentiated , 2=marginal undifferentiated, 3=marginal differentiated)",0,,,,,,,,,,,,,,,,,,,,,
GSw_FuelSupply,Turn fuel supply constraint on [1] or off [0],1,,,,,,,,,,,,,,,,,,,,,
GSw_Prescribed,Turn prescribed capacity additions on [1] or off [0],1,,,,,,,,,,,,,,,,,,,,,
GSw_ForcePrescription,Turn forced prescribed capacity additions on [1] or off [0],0,,,,,,,,,,,,,,,,,,,,,
GSw_RECapMandate,Turn RE capacity targets on [1] or off [0],1,,,,,,,,,,,,,,,,,,,,,
GSw_RECapFracMandate,Turn fractional non-fossil capacity target on [1] or off [0],0,,,,,,,,,,,,,,,,,,,,,
GSw_REGenMandate,Turn RE generation target on [1] or off [0],0,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1
GSw_TechPhaseOut,Turn forced phase out of select technologies on [1] or off [0],1,,,,,,,,,,,,,,,,,,,,,
GSw_Retire,Turn endogenous retirments on [1] or off [0],1,,,,,,,,,,,,,,,,,,,,,
GSw_REdiversity,Turn geographic diversity constraint for RE additions on [1] or off [0],1,,,,,,,,,,,,,,,,,,,,,
GSw_MinGen,Turn min loading constraint on [1] or off [0],1,,,,,,,,,,,,,,,,,,,,,
GSw_CarbonTax,Turn CO2 tax on [1] or off [0],0,,,,,,,,,,,,,,,,,,,,,
GSw_CO2Limit,Turn national CO2 emissions limit on [1] or off [0],0,,,,,,,,,,,,,,,,,,,,,
GSw_SAsia_Trade,Turn South Asia trade on [1] or off [0],1,,,,,,,,,,,,,,,,,,,,,
GSw_SAsia_PRM,Importing countries able to contribute to India's PRM,0,,,,,,,,,,,,,,,,,,,,,
GSw_ValStr,Turn value streams on [1] or off [0],0,,,,,,,,,,,,,,,,,,,,,
GSw_CCcurtAvg,Select method for average CC/curt calculations,2,,,,,,,,,,,,,,,,,,,,,
GSw_Loadpoint,Use [1] or disable [0] a loadpoint for the intertemporal solve after the first iteration,1,,,,,,,,,,,,,,,,,,,,,
GSw_gopt,Select opt file to be used,4,,,,,,,,,,,,,,,,,,,,,
GSw_SolarPlusStorage,Mandate UPV (utility-scale solar PV) investment to include storage: yes [1] or no [0],0,,,,,,,,,,,,,,,,,,,,,
GSw_StorHAV,Turn HAV (Hourly Arbitrage Value) for storage on [1] or off [0],1,,,,,,,,,,,,,,,,,,,,,
GSw_FocusRegionZeroTXCost,Zero transmission capital cost between focus regions: yes [1] or no [0],0,,,,,,,,,,,,,,,,,,,,,
GSw_TxLimit,Turn transmission flow limits on [1] or off [0],1,,,,,,,,,,,,,,,,,,,,,
GSw_CurtLim,Turn curtailment limits on [1] or off [0],0,,,,,,,,,,,,,,,,,,,,,
GSw_H2,Turn H2-CT (hydrogen combustion turbine) and H2-CC (hydrogen combined cycle) technologies on [1] or off [0],1,,,,,,,,,,,,,,,,,,,,,
GSw_OfsWind,Turn offshore wind technology on [1] or off [0],1,,,,,,,,,,,,,,,,,,,,,
GSw_BanGas,Ban new gas investments in India: on [1] or off [0],0,,,,,,,,,,,,,,,,,,,,,
