r,rr,AC,DC,Project(s),Notes,rnum,rrnum
p45,p68,362.377,0,,,45,68
p45,p69,188.4004,0,,,45,69
p45,p70,2277.883,0,,,45,70
p46,p68,66.64001,0,,,46,68
p46,p74,10.63885267,0,,,46,74
p46,p75,154.1590613,0,,,46,75
p46,p76,241.5645372,0,,,46,76
p46,p77,224.4589309,0,,,46,77
p47,p48,2843.68,0,,,47,48
p48,p49,1115.106,0,,,48,49
p48,p50,1691.848752,0,,,48,50
p49,p50,45.19116,0,,,49,50
p49,p52,105.4719562,0,,,49,52
p49,p53,8.002735978,0,,,49,53
p50,p51,4411.884941,0,,,50,51
p50,p53,104.1723666,0,,,50,53
p50,p56,878.1698,0,,,50,56
p50,p57,952.1273,0,,,50,57
p50,p60,0,220,Oklaunion Intertie (ERCOT-East),changed to 220 MW,50,60
p50,p63,0,0,,removed; not a real line,50,63
p50,p85,225.6802137,0,,,50,85
p51,p53,112.7906977,0,,,51,53
p51,p55,35.3625171,0,,,51,55
p51,p56,3107.563,0,,,51,56
p52,p53,610.6625,0,,,52,53
p53,p54,1406.588,0,,,53,54
p53,p55,1085.692,0,,,53,55
p54,p55,1037.173,0,,,54,55
p54,p70,192.920354,0,,,54,70
p54,p71,158.4722732,0,,,54,71
p54,p72,1183.988248,0,,,54,72
p55,p56,206.6347469,0,,,55,56
p55,p72,139.8016893,0,,,55,72
p55,p84,997.7377892,0,,,55,84
p55,p85,490,0,,,55,85
p56,p85,1935.798512,0,,,56,85
p57,p58,1325.565732,0,,,57,58
p57,p63,0,600,Welsh Intertie (ERCOT-East),,57,63
p57,p66,463.9887426,0,,,57,66
p57,p85,318.9668002,0,,,57,85
p58,p66,3051.19,0,,,58,66
p58,p85,142.4172,0,,,58,85
p58,p86,944.5507,0,,,58,86
p58,p87,4042.358,0,,,58,87
p60,p61,2473,0,,,60,61
p60,p62,2303,0,,,60,62
p60,p63,2003,0,,,60,63
p61,p62,832,0,,,61,62
p61,p63,456,0,,,61,63
p61,p64,238,0,,,61,64
p61,p65,466,0,,,61,65
p63,p64,4440,0,,,63,64
p63,p67,2138,0,,,63,67
p64,p65,6298,0,,,64,65
p64,p67,2207,0,,,64,67
p65,p67,6360,0,,,65,67
p66,p86,1046.551,0,,,66,86
p68,p69,949.3785,0,,,68,69
p68,p77,55.69752282,0,,,68,77
p69,p70,1130.637,0,,,69,70
p69,p77,93.66362451,0,,,69,77
p70,p71,241.6994607,0,,,70,71
p70,p77,17.73142112,0,,,70,77
p70,p80,281,0,,,70,80
p70,p81,453.403294,0,,,70,81
p71,p72,1188.769027,0,,,71,72
p71,p81,270.5229,0,,,71,81
p72,p73,2014.778,0,,,72,73
p72,p81,3609.634,0,,,72,81
p72,p84,1918.253,0,,,72,84
p73,p84,1343.094039,0,,,73,84
p74,p75,899.518984,0,,,74,75
p74,p103,422,0,,,74,103
p75,p76,2489.645534,0,,,75,76
p75,p79,133.6404203,0,,,75,79
p76,p77,472.9971,0,,,76,77
p76,p78,1065.477,0,,,76,78
p76,p79,562.7465093,0,,,76,79
p77,p78,213.531377,0,,,77,78
p77,p80,13.14236361,0,,,77,80
p78,p79,192.8602274,0,,,78,79
p78,p80,197.6104793,0,,,78,80
p79,p80,1514.64,0,,,79,80
p80,p81,953.0550608,0,,,80,81
p80,p82,1825.013552,0,,,80,82
p80,p83,473.6312243,0,,,80,83
p80,p105,4210.917,0,,,80,105
p81,p82,1569.974,0,,,81,82
p81,p83,2843.928,0,,,81,83
p81,p93,2521.791045,0,,,81,93
p81,p107,25.5556416,0,,,81,107
p81,p108,100.8716418,0,,,81,108
p82,p83,1283.593,0,,,82,83
p83,p105,320.9788585,0,,,83,105
p83,p107,801.7656625,0,,,83,107
p84,p85,3000,0,,,84,85
p84,p92,449.3373134,0,,,84,92
p85,p86,3957.517,0,,,85,86
p85,p87,1662.681,0,,,85,87
p85,p92,1023.337407,0,,,85,92
p86,p87,1254.23,0,,,86,87
p87,p88,1412.295331,0,,,87,88
p87,p89,1162.270695,0,,,87,89
p87,p90,1837.729305,0,,,87,90
p87,p92,483.3672618,0,,,87,92
p88,p89,1929.878835,0,,,88,89
p88,p92,1970.902,0,,,88,92
p89,p90,4608.073,0,,,89,90
p89,p92,1349.144969,0,,,89,92
p89,p94,992.1531,0,,,89,94
p90,p91,2856.881,0,,,90,91
p90,p94,5066.118,0,,,90,94
p91,p94,640.5347,0,,,91,94
p91,p101,1152.253521,0,,,91,101
p92,p93,4832.321671,0,,,92,93
p92,p94,720.9761966,0,,,92,94
p92,p97,3600,0,,,92,97
p92,p108,3286.599209,0,,,92,108
p92,p109,229.32,0,,,92,109
p92,p118,127.2095559,0,,,92,118
p93,p108,2012.326,0,,,93,108
p93,p109,1459.04,0,,,93,109
p94,p95,2392.012057,0,,,94,95
p94,p96,802.9215059,0,,,94,96
p94,p97,47.06643701,0,,,94,97
p94,p101,2447.746479,0,,,94,101
p95,p96,1705.13,0,,,95,96
p95,p97,5283.222,0,,,95,97
p95,p98,1401.494,0,,,95,98
p96,p98,1990.702,0,,,96,98
p97,p98,3088.544,0,,,97,98
p97,p118,902.0831421,0,,,97,118
p98,p99,4349.804,0,,,98,99
p99,p100,1057.171699,0,,,99,100
p99,p116,590.5295035,0,,,99,116
p99,p118,1651.830779,0,,,99,118
p99,p121,798.3848766,0,,,99,121
p99,p123,3900,0,,,99,123
p100,p116,1319.028889,0,,,100,116
p101,p102,12071.62,0,,,101,102
p103,p104,1134.599285,0,,,103,104
p103,p105,378.4450672,0,,,103,105
p103,p111,390.9556479,0,,,103,111
p104,p105,2076.929,0,,,104,105
p105,p106,2323.153,0,,,105,106
p105,p107,8378.471,0,,,105,107
p105,p112,3978.799,0,,,105,112
p106,p107,4428.458,0,,,106,107
p107,p108,24.34780113,0,,,107,108
p107,p109,96.92890451,0,,,107,109
p107,p112,1719.684,0,,,107,112
p107,p114,1364.905,0,,,107,114
p108,p109,672.3441,0,,,108,109
p109,p110,82.40497884,0,,,109,110
p109,p112,45.76770213,0,,,109,112
p109,p114,137.5727814,0,,,109,114
p109,p118,22.76827606,0,,,109,118
p110,p112,83.15455,0,,,110,112
p110,p117,2996.277,0,,,110,117
p110,p118,379.7128,0,,,110,118
p111,p112,5400.883073,0,,,111,112
p111,p115,2707.832732,0,,,111,115
p111,p116,1130.114,0,,,111,116
p111,p122,1397.261576,0,,,111,122
p112,p113,3198.643,0,,,112,113
p112,p114,2557.524,0,,,112,114
p112,p115,1640.869,0,,,112,115
p112,p116,2407.762,0,,,112,116
p112,p117,1045.597,0,,,112,117
p113,p114,2489.325,0,,,113,114
p115,p116,2196.172,0,,,115,116
p115,p122,2231.149567,0,,,115,122
p116,p117,3363.475,0,,,116,117
p116,p118,425.4031,0,,,116,118
p116,p120,296.337978,0,,,116,120
p116,p121,3075.146,0,,,116,121
p117,p118,8936.884235,0,,,117,118
p119,p122,2530.131135,0,,,119,122
p120,p121,379.931703,0,,,120,121
p120,p122,205.3817629,0,,,120,122
p121,p122,59.90301417,0,,,121,122
p121,p123,1106.304079,0,,,121,123
p122,p123,6209.39,0,,,122,123
p122,p125,976.8799,0,,,122,125
p122,p126,8384.043327,0,,,122,126
p122,p127,846.5099715,0,,,122,127
p123,p124,268.028828,0,,,123,124
p123,p125,2749.818,0,,,123,125
p125,p126,4250.192812,0,,,125,126
p126,p127,1153.490028,0,,,126,127
p127,p128,4000,0,,,127,128
p127,p129,241.659414,0,,,127,129
p127,p131,653.4957934,0,,,127,131
p127,p132,504.8447926,0,,,127,132
p128,p132,634,0,,,128,132
p129,p130,1796.173252,0,,,129,130
p129,p131,2133.200428,0,,,129,131
p130,p131,2464.410851,0,,,130,131
p130,p134,1299.691,0,,,130,134
p131,p132,1520.605,0,,,131,132
p131,p133,1725.101,0,,,131,133
p132,p133,1038.325,0,,,132,133
