t,i,r,value
2022,DISTPV,Puducherry,20.1367
2023,DISTPV,Puducherry,20.1367
2017,UPV,Puducherry,0
2018,UPV,Puducherry,0
2021,UPV,Puducherry,0
2022,UPV,Puducherry,0
2023,UPV,Puducherry,0
2017,WIND,Puducherry,0
2018,WIND,Puducherry,0
2021,WIND,Puducherry,0
2022,WIND,Puducherry,0
2023,WIND,Puducherry,0
2017,DISTPV,Punjab,499.2367
2018,DISTPV,Punjab,304.1767
2021,DISTPV,Punjab,608.3534
2022,DISTPV,Punjab,304.1767
2023,DISTPV,Punjab,304.1767
2021,HYDRO-STORAGE,Punjab,140
2023,HYDRO-STORAGE,Punjab,70
2017,UPV,Punjab,213.49
2018,UPV,Punjab,0
2021,UPV,Punjab,0
2022,UPV,Punjab,0
2023,UPV,Punjab,0
2017,WIND,Punjab,0
2018,WIND,Punjab,0
2021,WIND,Punjab,0
2022,WIND,Punjab,0
2023,WIND,Punjab,0
2017,DISTPV,Rajasthan,386.02
2018,DISTPV,Rajasthan,386.02
2021,DISTPV,Rajasthan,772.04
2022,DISTPV,Rajasthan,386.02
2023,DISTPV,Rajasthan,386.02
2017,UPV,Rajasthan,0
2018,UPV,Rajasthan,0
2020,UPV,Rajasthan,5000
2021,UPV,Rajasthan,0
2022,UPV,Rajasthan,13545
2023,UPV,Rajasthan,3180
2024,UPV,Rajasthan,3180
2025,UPV,Rajasthan,3180
2017,WIND,Rajasthan,0
2018,WIND,Rajasthan,0
2020,WIND,Rajasthan,4422.8
2021,WIND,Rajasthan,0
2022,WIND,Rajasthan,570
2023,WIND,Rajasthan,8
2017,DISTPV,Sikkim,0
2018,DISTPV,Sikkim,0
2021,DISTPV,Sikkim,0
2022,DISTPV,Sikkim,0
2023,DISTPV,Sikkim,0
2021,HYDRO-PONDAGE,Sikkim,66
2017,HYDRO-STORAGE,Sikkim,1393
2021,HYDRO-STORAGE,Sikkim,576
2022,HYDRO-STORAGE,Sikkim,404
2017,UPV,Sikkim,0
2018,UPV,Sikkim,0
2021,UPV,Sikkim,0
2022,UPV,Sikkim,0
2023,UPV,Sikkim,0
2017,WIND,Sikkim,0
2018,WIND,Sikkim,0
2021,WIND,Sikkim,0
2022,WIND,Sikkim,0
2023,WIND,Sikkim,0
2017,DISTPV,Tamil_Nadu,586.1867
2018,DISTPV,Tamil_Nadu,586.1867
2021,DISTPV,Tamil_Nadu,1172.3734
2022,DISTPV,Tamil_Nadu,586.1867
2023,DISTPV,Tamil_Nadu,586.1867
2017,UPV,Tamil_Nadu,2376.84
2018,UPV,Tamil_Nadu,1315.02
2021,UPV,Tamil_Nadu,2630.04
2022,UPV,Tamil_Nadu,1315.02
2023,UPV,Tamil_Nadu,1315.02
2017,WIND,Tamil_Nadu,8326.7167
2018,WIND,Tamil_Nadu,712.8567
2021,WIND,Tamil_Nadu,1425.7134
2022,WIND,Tamil_Nadu,712.8567
2023,WIND,Tamil_Nadu,712.8567
2017,DISTPV,Telangana,336.52
2018,DISTPV,Telangana,336.52
2021,DISTPV,Telangana,673.04
2022,DISTPV,Telangana,336.52
2023,DISTPV,Telangana,336.52
2017,HYDRO-PONDAGE,Telangana,60
2021,HYDRO-ROR,Telangana,120
2017,UPV,Telangana,1102.8567
2018,UPV,Telangana,575.0167
2021,UPV,Telangana,1150.0334
2022,UPV,Telangana,575.0167
2023,UPV,Telangana,575.0167
2017,WIND,Telangana,398.25
2018,WIND,Telangana,320.55
2021,WIND,Telangana,641.1
2022,WIND,Telangana,320.55
2023,WIND,Telangana,320.55
2017,DISTPV,Tripura,11.6867
2018,DISTPV,Tripura,11.6867
2021,DISTPV,Tripura,23.3734
2022,DISTPV,Tripura,11.6867
2023,DISTPV,Tripura,11.6867
2017,UPV,Tripura,14.49
2018,UPV,Tripura,9.49
2021,UPV,Tripura,18.98
2022,UPV,Tripura,9.49
2023,UPV,Tripura,9.49
2017,WIND,Tripura,0
2018,WIND,Tripura,0
2021,WIND,Tripura,0
2022,WIND,Tripura,0
2023,WIND,Tripura,0
2017,DISTPV,Uttar_Pradesh,718.6867
2018,DISTPV,Uttar_Pradesh,718.6867
2021,DISTPV,Uttar_Pradesh,1437.3734
2022,DISTPV,Uttar_Pradesh,718.6867
2023,DISTPV,Uttar_Pradesh,718.6867
2017,UPV,Uttar_Pradesh,262.9067
2018,UPV,Uttar_Pradesh,119.4067
2021,UPV,Uttar_Pradesh,238.8134
2022,UPV,Uttar_Pradesh,119.4067
2023,UPV,Uttar_Pradesh,119.4067
2017,WIND,Uttar_Pradesh,50.6667
2018,WIND,Uttar_Pradesh,50.6667
2021,WIND,Uttar_Pradesh,101.3334
2022,WIND,Uttar_Pradesh,50.6667
2023,WIND,Uttar_Pradesh,50.6667
2017,DISTPV,Uttarakhand,61.8533
2018,DISTPV,Uttarakhand,61.8533
2021,DISTPV,Uttarakhand,123.7066
2022,DISTPV,Uttarakhand,61.8533
2023,DISTPV,Uttarakhand,61.8533
2021,HYDRO-PONDAGE,Uttarakhand,520
2021,HYDRO-STORAGE,Uttarakhand,871
2022,HYDRO-STORAGE,Uttarakhand,618
2023,HYDRO-STORAGE,Uttarakhand,250
2017,UPV,Uttarakhand,48.2817
2018,UPV,Uttarakhand,7.1317
2021,UPV,Uttarakhand,14.2634
2022,UPV,Uttarakhand,7.1317
2023,UPV,Uttarakhand,7.1317
2017,WIND,Uttarakhand,0
2018,WIND,Uttarakhand,0
2021,WIND,Uttarakhand,0
2022,WIND,Uttarakhand,0
2023,WIND,Uttarakhand,0
2017,DISTPV,West_Bengal,353.1867
2018,DISTPV,West_Bengal,353.1867
2021,DISTPV,West_Bengal,706.3734
2022,DISTPV,West_Bengal,353.1867
2023,DISTPV,West_Bengal,353.1867
2022,HYDRO-ROR,West_Bengal,40
2021,HYDRO-STORAGE,West_Bengal,40
2022,HYDRO-STORAGE,West_Bengal,40
2017,UPV,West_Bengal,93.6317
2018,UPV,West_Bengal,85.8617
2021,UPV,West_Bengal,171.7234
2022,UPV,West_Bengal,85.8617
2023,UPV,West_Bengal,85.8617
2017,WIND,West_Bengal,0
2018,WIND,West_Bengal,0
2021,WIND,West_Bengal,0
2022,WIND,West_Bengal,0
2023,WIND,West_Bengal,0
2024,DISTPV,Karnataka,394.73
2025,DISTPV,Karnataka,133.6
2026,DISTPV,Karnataka,133.6
2027,DISTPV,Karnataka,266.65
2028,DISTPV,Karnataka,266.65
2029,DISTPV,Karnataka,423.84
2030,DISTPV,Karnataka,423.84
2031,DISTPV,Karnataka,601.3
2032,DISTPV,Karnataka,601.3
2033,DISTPV,Karnataka,821.77
2034,DISTPV,Karnataka,821.77
2035,DISTPV,Karnataka,1012.91
2036,DISTPV,Karnataka,1012.91
2037,DISTPV,Karnataka,1160.44
2038,DISTPV,Karnataka,1160.44
2039,DISTPV,Karnataka,1290.74
2040,DISTPV,Karnataka,1290.74
2041,DISTPV,Karnataka,1358.63
2042,DISTPV,Karnataka,1358.63
2043,DISTPV,Karnataka,1349.03
2044,DISTPV,Karnataka,1349.03
2045,DISTPV,Karnataka,1251.23
2046,DISTPV,Karnataka,1251.23
2047,DISTPV,Karnataka,1114.52
2048,DISTPV,Karnataka,1114.52
2049,DISTPV,Karnataka,889.42
2050,DISTPV,Karnataka,889.42
