ignore,path,csv,label,description,col1,col2,col3,col4,col5,col6,col7
,outputs,stor_in,Timeslice Storage Charging and Pumping (MWh),MW-- energy going in to standalone storage and PHES (PVB not considered here since it's tightly coupled),i,v,r,h,t,val,
,outputs,stor_inout,Storage Operation (MWh),MW-- energy going in to standalone storage and PHES (PVB not considered here since it's tightly coupled),i,v,r,t,stor_in_or_out,val,
,outputs,stor_level,Storage Level (MWh),MWh-- storage level,i,v,r,h,t,val,
,outputs,systemcost_ba,System Cost (2004 $),2004$-- reported ba-level system cost for each component where inv costs are model year present value and op costs are single year,cost_cat,r,t,val,,,
,outputs,systemcost_ba_bulk,Bulk System Cost (2004 $),2004$-- reported system cost for each component where inv costs are model year present value and op costs are model year present value until next model year,cost_cat,r,t,val,,,
,outputs,tran_flow_out,Timeslice Gross Transmission Flow (MWh),MWh-- gross transmission flows between regions by time slice,rf,rt,h,t,trtype,val,
,outputs,tran_flow_out_ann,Gross Transmission Flow (MWh),MWh-- gross annual transmission flows between regions,rf,rt,t,trtype,val,,
,outputs,tran_flow_pos_out,Timeslice Positive Transmission Flow (MWh),MWh-- positive transmission flows from region r to rr by time slice,rf,rt,h,t,trtype,val,
,outputs,tran_flow_pos_out_ann,Positive Transmission Flow (MWh),MWh-- positive annual transmission flows from region r to rr,rf,rt,t,trtype,val,,
,outputs,tran_flow_neg_out,Timeslice Negative Transmission Flow (MWh),MWh-- negative transmission flows from region r to rr by time slice (reported as negative value),rf,rt,h,t,trtype,val,
,outputs,tran_flow_neg_out_ann,Negative Transmission Flow (MWh),MWh-- negative annual transmission flows from region r to rr,rf,rt,t,trtype,val,,
,outputs,tran_flow_power,Timeslice Net Transmission Flow (MWh),MWh-- net transmission flows from region r to rr by time slice,rf,rt,h,t,trtype,val,
,outputs,tran_flow_power_ann,Net Transmission Flow (MWh),MWh-- net annual transmission flows from region r to rr,rf,rt,t,trtype,val,,
,outputs,tran_out,Transfer Capacity (MW),MW-- total transmission capacity,rf,rt,trtype,t,val,,
,outputs,tran_mi_out,Total Transfer Capacity (MW-mi),MW-mi-- total transmission capacity,trtype,t,val,,,,
,outputs,tran_mi_out_detail,Transfer Capacity (MW-mi),MW-mi-- total transmission capacity,rf,rt,t,trtype,val,,
,outputs,valuestreams_chosen,Value Stream (2004 $),Results from the value streams module,i,v,r,t,var_name,con_name,val
,outputs,repbioprice,Biomass Price (2004 $/MMBtu),2004$/MMBtu-- highest marginal bioprice of utilized bins for each region,r,t,val,,,,
,outputs,repgasprice_r,Natural Gas Price (2004 $/MMBtu),2004$/MMBtu-- highest marginal gas price of utilized gas bins for each region,r,t,val,,,,
,outputs,repgasquant_irt,Natural Gas Consumed (Quads),Quads-- quantity of gas consumed by tech and region,i,r,t,val,,,
,outputs,repgasquant_r,Natural Gas Consumed (Quads),Quads-- quantity of gas consumed by region,r,t,val,,,,
,outputs,CO2_CAPTURED_out,Timeslice CO2 Captured (tonnes/timeslice),tonnes/hour-- amount of CO2 captured_out from DAC and CCS technologies,r,h,t,val,,,
,outputs,CO2_CAPTURED_out_ann,CO2 Captured (tonnes),tonnes-- amount of CO2 captured_out from DAC and CCS technologies,r,t,val,,,,
,outputs,CO2_STORED_out,Timeslice CO2 Stored (tonnes/timeslice),tonnes/hour-- amount of CO2 stored_out underground,r,cs,h,t,val,,
,outputs,CO2_STORED_out_ann,CO2 Stored (tonnes),tonnes-- amount of CO2 stored_out underground,r,cs,t,val,,,
,outputs,CO2_FLOW_out,Timeslice Gross CO2 Flow (tonnes/timeslice),tonnes/hour-- gross interregional flow of CO2,rf,rt,h,t,val,,
,outputs,CO2_FLOW_out_ann,Gross CO2 Flow (tonnes),tonnes/hour-- gross interregional flow of CO2,rf,rt,t,val,,,
,outputs,CO2_FLOW_pos_out,Timeslice Positive CO2 Flow (tonnes/timeslice),tonnes/hour-- positive interregional flow of CO2 from region r to rr,rf,rt,h,t,val,,
,outputs,CO2_FLOW_pos_out_ann,Positive CO2 Flow (tonnes),tonnes/hour-- positive interregional flow of CO2 from region r to rr,rf,rt,t,val,,,
,outputs,CO2_FLOW_neg_out,Timeslice Negative CO2 Flow (tonnes/timeslice),tonnes/hour-- negative interregional flow of CO2 from region r to rr (reported as a negative value),rf,rt,h,t,val,,
,outputs,CO2_FLOW_neg_out_ann,Negative CO2 Flow (tonnes),tonnes/hour-- negative interregional flow of CO2 from region r to rr (reported as a negative value),rf,rt,t,val,,,
,outputs,CO2_FLOW_net_out,Timeslice Net CO2 Flow (tonnes/timeslice),tonnes/hour-- net interregional flow of CO2 from region r to rr,rf,rt,h,t,val,,
,outputs,CO2_FLOW_net_out_ann,Net CO2 Flow (tonnes),tonnes/hour-- net interregional flow of CO2 from region r to r,rf,rt,t,val,,,
,outputs,CO2_TRANSPORT_INV_out,CO2 Pipeline Capacity (metric ton-hrs),tonne-hours-- investment in interregional CO2 transport_out capacity,rf,rt,t,val,,,
,outputs,CO2_SPURLINE_INV_out,CO2 Spur Line Capacity (metric ton-hrs),tonne-hours-- spurline investment from r to carbon storage site,r,cs,t,val,,, 
