rs,r,nr,nr_new,rto,reg,st,interconnect,country,gg_reg
71,p21,nr11,nr2new,rto2,MTN,WY,WSCC,USA,WY
72,p22,nr11,nr3new,rto2,MTN,WY,WSCC,USA,WY
73,p23,nr11,nr3new,rto5,MTN,WY,WSCC,USA,WY
74,p24,nr11,nr3new,rto5,MTN,WY,WSCC,USA,WY
75,p33,nr12,nr3new,rto5,MTN,CO,WSCC,USA,CO
76,p33,nr12,nr3new,rto5,MTN,CO,WSCC,USA,CO
77,p34,nr12,nr3new,rto5,MTN,CO,WSCC,USA,CO
78,p34,nr12,nr3new,rto5,MTN,CO,WSCC,USA,CO
79,p33,nr12,nr3new,rto5,MTN,CO,WSCC,USA,CO
80,p33,nr12,nr3new,rto5,MTN,CO,WSCC,USA,CO
81,p33,nr12,nr3new,rto5,MTN,CO,WSCC,USA,CO
82,p33,nr12,nr3new,rto5,MTN,CO,WSCC,USA,CO
83,p34,nr12,nr3new,rto5,MTN,CO,WSCC,USA,CO
84,p34,nr12,nr3new,rto5,MTN,CO,WSCC,USA,CO
85,p33,nr12,nr3new,rto5,MTN,CO,WSCC,USA,CO
86,p34,nr12,nr3new,rto5,MTN,CO,WSCC,USA,CO
87,p34,nr12,nr3new,rto5,MTN,CO,WSCC,USA,CO
88,p31,nr12,nr7new,rto3,MTN,NM,WSCC,USA,NM
89,p31,nr12,nr7new,rto3,MTN,NM,WSCC,USA,NM
90,p31,nr12,nr7new,rto3,MTN,NM,WSCC,USA,NM
91,p31,nr12,nr7new,rto3,MTN,NM,WSCC,USA,NM
92,p31,nr12,nr7new,rto3,MTN,NM,WSCC,USA,NM
93,p31,nr12,nr7new,rto3,MTN,NM,WSCC,USA,NM
94,p59,nr12,nr7new,rto3,MTN,TX,WSCC,USA,TX
95,p32,nr11,nr3new,rto5,MTN,SD,WSCC,USA,SD
96,p35,nr5,nr9new,rto11,WNC,MT,eastern,USA,MT
97,p36,nr5,nr9new,rto11,WNC,ND,eastern,USA,ND
98,p36,nr5,nr9new,rto11,WNC,ND,eastern,USA,ND
99,p37,nr5,nr9new,rto11,WNC,ND,eastern,USA,ND
100,p36,nr5,nr9new,rto11,WNC,ND,eastern,USA,ND
101,p36,nr5,nr9new,rto11,WNC,ND,eastern,USA,ND
102,p37,nr5,nr9new,rto11,WNC,ND,eastern,USA,ND
103,p37,nr5,nr9new,rto11,WNC,ND,eastern,USA,ND
104,p38,nr5,nr9new,rto11,WNC,SD,eastern,USA,SD
105,p38,nr5,nr9new,rto11,WNC,SD,eastern,USA,SD
106,p38,nr5,nr9new,rto11,WNC,SD,eastern,USA,SD
107,p38,nr5,nr9new,rto11,WNC,SD,eastern,USA,SD
108,p38,nr5,nr9new,rto11,WNC,SD,eastern,USA,SD
109,p38,nr5,nr9new,rto11,WNC,SD,eastern,USA,SD
110,p38,nr5,nr9new,rto11,WNC,SD,eastern,USA,SD
111,p38,nr5,nr9new,rto11,WNC,SD,eastern,USA,SD
112,p38,nr5,nr9new,rto11,WNC,SD,eastern,USA,SD
113,p38,nr5,nr9new,rto11,WNC,SD,eastern,USA,SD
114,p39,nr5,nr10new,rto8,WNC,NE,eastern,USA,NE
115,p39,nr5,nr10new,rto8,WNC,NE,eastern,USA,NE
116,p40,nr5,nr10new,rto8,WNC,NE,eastern,USA,NE
117,p40,nr5,nr10new,rto8,WNC,NE,eastern,USA,NE
118,p40,nr5,nr10new,rto8,WNC,NE,eastern,USA,NE
119,p41,nr5,nr10new,rto8,WNC,NE,eastern,USA,NE
120,p42,nr5,nr9new,rto11,WNC,MN,eastern,USA,MN
121,p43,nr5,nr11new,rto11,WNC,MN,eastern,USA,MN
122,p44,nr5,nr11new,rto11,WNC,MN,eastern,USA,MN
123,p44,nr5,nr11new,rto11,WNC,MN,eastern,USA,MN
124,p43,nr5,nr11new,rto11,WNC,MN,eastern,USA,MN
125,p43,nr5,nr11new,rto11,WNC,MN,eastern,USA,MN
126,p43,nr5,nr11new,rto11,WNC,MN,eastern,USA,MN
127,p43,nr5,nr11new,rto11,WNC,MN,eastern,USA,MN
128,p43,nr5,nr11new,rto11,WNC,MN,eastern,USA,MN
129,p46,nr5,nr11new,rto11,ENC,WI,eastern,USA,WI
130,p46,nr5,nr11new,rto11,ENC,WI,eastern,USA,WI
131,p46,nr5,nr11new,rto11,ENC,WI,eastern,USA,WI
132,p45,nr5,nr11new,rto6,WNC,IA,eastern,USA,IA
133,p69,nr5,nr11new,rto6,WNC,IA,eastern,USA,IA
134,p45,nr5,nr11new,rto6,WNC,IA,eastern,USA,IA
13,p5,nr11,nr1new,rto1,PA,OR,WSCC,USA,OR
162,p58,nr9,nr10new,rto13,WSC,LA,eastern,USA,LA
174,p65,nr2,nr8new,rto10,WSC,TX,texas,USA,TX
175,p67,nr2,nr8new,rto10,WSC,TX,texas,USA,TX
191,p74,nr4,nr11new,rto6,ENC,MI,eastern,USA,MI
192,p75,nr4,nr11new,rto6,ENC,WI,eastern,USA,WI
197,p75,nr4,nr11new,rto6,ENC,WI,eastern,USA,WI
198,p79,nr4,nr11new,rto6,ENC,WI,eastern,USA,WI
206,p80,nr4,nr17new,rto7,ENC,IL,eastern,USA,IL
211,p103,nr1,nr11new,rto6,ENC,MI,eastern,USA,MI
212,p103,nr1,nr11new,rto6,ENC,MI,eastern,USA,MI
213,p104,nr1,nr17new,rto7,ENC,MI,eastern,USA,MI
214,p103,nr1,nr11new,rto6,ENC,MI,eastern,USA,MI
216,p103,nr1,nr11new,rto6,ENC,MI,eastern,USA,MI
217,p103,nr1,nr11new,rto6,ENC,MI,eastern,USA,MI
218,p103,nr1,nr11new,rto6,ENC,MI,eastern,USA,MI
219,p105,nr1,nr11new,rto6,ENC,IN,eastern,USA,IN
227,p111,nr1,nr17new,rto7,ENC,OH,eastern,USA,OH
234,p111,nr1,nr17new,rto7,ENC,OH,eastern,USA,OH
256,p66,nr9,nr10new,rto13,WSC,TX,eastern,USA,TX
261,p58,nr9,nr10new,rto13,WSC,LA,eastern,USA,LA
264,p87,nr9,nr12new,rto13,ESC,MS,eastern,USA,MS
267,p90,nr9,nr13new,rto9,ESC,AL,eastern,USA,AL
268,p90,nr9,nr13new,rto9,ESC,AL,eastern,USA,AL
269,p91,nr9,nr13new,rto9,SA,FL,eastern,USA,FL
270,p91,nr9,nr13new,rto9,SA,FL,eastern,USA,FL
271,p91,nr9,nr13new,rto9,SA,FL,eastern,USA,FL
275,p94,nr9,nr13new,rto9,SA,GA,eastern,USA,GA
292,p98,nr9,nr15new,rto15,SA,NC,eastern,USA,NC
293,p98,nr9,nr15new,rto15,SA,NC,eastern,USA,NC
294,p98,nr9,nr15new,rto15,SA,NC,eastern,USA,NC
297,p96,nr9,nr15new,rto15,SA,SC,eastern,USA,SC
298,p96,nr9,nr15new,rto15,SA,SC,eastern,USA,SC
299,p96,nr9,nr15new,rto15,SA,SC,eastern,USA,SC
307,p99,nr9,nr17new,rto7,SA,VA,eastern,USA,VA
309,p101,nr8,nr14new,rto16,SA,FL,eastern,USA,FL
310,p101,nr8,nr14new,rto16,SA,FL,eastern,USA,FL
311,p101,nr8,nr14new,rto16,SA,FL,eastern,USA,FL
312,p101,nr8,nr14new,rto16,SA,FL,eastern,USA,FL
313,p102,nr8,nr14new,rto16,SA,FL,eastern,USA,FL
314,p124,nr3,nr17new,rto12,SA,VA,eastern,USA,VA
315,p123,nr3,nr17new,rto12,SA,MD,eastern,USA,RGGI
318,p125,nr3,nr17new,rto12,SA,DE,eastern,USA,RGGI
320,p122,nr3,nr17new,rto12,MA,PA,eastern,USA,PA
330,p126,nr3,nr17new,rto12,MA,NJ,eastern,USA,NJ
332,p126,nr3,nr17new,rto12,MA,NJ,eastern,USA,NJ
333,p127,nr6,nr18new,rto17,MA,NY,eastern,USA,RGGI
334,p127,nr6,nr18new,rto17,MA,NY,eastern,USA,RGGI
336,p127,nr6,nr18new,rto17,MA,NY,eastern,USA,RGGI
341,p127,nr6,nr18new,rto17,MA,NY,eastern,USA,RGGI
342,p128,nr6,nr18new,rto17,MA,NY,eastern,USA,RGGI
344,p132,nr7,nr19new,rto18,NE,CT,eastern,USA,RGGI
345,p133,nr7,nr19new,rto18,NE,RI,eastern,USA,RGGI
346,p133,nr7,nr19new,rto18,NE,RI,eastern,USA,RGGI
348,p131,nr7,nr19new,rto18,NE,MA,eastern,USA,RGGI
349,p131,nr7,nr19new,rto18,NE,MA,eastern,USA,RGGI
354,p130,nr7,nr19new,rto18,NE,NH,eastern,USA,RGGI
356,p134,nr7,nr19new,rto18,NE,ME,eastern,USA,RGGI
135,p52,nr10,nr10new,rto8,WNC,KS,eastern,USA,KS
136,p53,nr10,nr10new,rto8,WNC,KS,eastern,USA,KS
137,p53,nr10,nr10new,rto8,WNC,KS,eastern,USA,KS
138,p53,nr10,nr10new,rto8,WNC,KS,eastern,USA,KS
139,p53,nr10,nr10new,rto8,WNC,KS,eastern,USA,KS
140,p53,nr10,nr10new,rto8,WNC,KS,eastern,USA,KS
141,p53,nr10,nr10new,rto8,WNC,KS,eastern,USA,KS
142,p53,nr10,nr10new,rto8,WNC,KS,eastern,USA,KS
143,p53,nr10,nr10new,rto8,WNC,KS,eastern,USA,KS
144,p54,nr10,nr11new,rto8,WNC,MO,eastern,USA,MO
145,p54,nr10,nr11new,rto8,WNC,MO,eastern,USA,MO
146,p55,nr10,nr10new,rto8,WNC,MO,eastern,USA,MO
147,p55,nr10,nr10new,rto8,WNC,MO,eastern,USA,MO
148,p47,nr10,nr10new,rto8,WSC,NM,eastern,USA,NM
149,p48,nr10,nr10new,rto8,WSC,TX,eastern,USA,TX
150,p48,nr10,nr10new,rto8,WSC,TX,eastern,USA,TX
151,p57,nr10,nr10new,rto8,WSC,TX,eastern,USA,TX
152,p49,nr10,nr10new,rto8,WSC,OK,eastern,USA,OK
153,p50,nr10,nr10new,rto8,WSC,OK,eastern,USA,OK
154,p50,nr10,nr10new,rto8,WSC,OK,eastern,USA,OK
155,p50,nr10,nr10new,rto8,WSC,OK,eastern,USA,OK
156,p50,nr10,nr10new,rto8,WSC,OK,eastern,USA,OK
157,p51,nr10,nr10new,rto8,WSC,OK,eastern,USA,OK
158,p50,nr10,nr10new,rto8,WSC,OK,eastern,USA,OK
159,p56,nr10,nr10new,rto8,WSC,AR,eastern,USA,AR
160,p56,nr10,nr10new,rto8,WSC,AR,eastern,USA,AR
161,p58,nr9,nr10new,rto13,WSC,LA,eastern,USA,LA
163,p61,nr2,nr8new,rto10,WSC,TX,texas,USA,TX
164,p62,nr2,nr8new,rto10,WSC,TX,texas,USA,TX
165,p60,nr2,nr8new,rto10,WSC,TX,texas,USA,TX
166,p61,nr2,nr8new,rto10,WSC,TX,texas,USA,TX
167,p63,nr2,nr8new,rto10,WSC,TX,texas,USA,TX
168,p63,nr2,nr8new,rto10,WSC,TX,texas,USA,TX
169,p63,nr2,nr8new,rto10,WSC,TX,texas,USA,TX
170,p63,nr2,nr8new,rto10,WSC,TX,texas,USA,TX
171,p64,nr2,nr8new,rto10,WSC,TX,texas,USA,TX
172,p65,nr2,nr8new,rto10,WSC,TX,texas,USA,TX
173,p65,nr2,nr8new,rto10,WSC,TX,texas,USA,TX
176,p68,nr5,nr11new,rto11,WNC,MN,eastern,USA,MN
177,p69,nr5,nr11new,rto6,WNC,IA,eastern,USA,IA
178,p70,nr5,nr11new,rto6,WNC,IA,eastern,USA,IA
179,p70,nr5,nr11new,rto6,WNC,IA,eastern,USA,IA
180,p70,nr5,nr11new,rto6,WNC,IA,eastern,USA,IA
181,p70,nr5,nr11new,rto6,WNC,IA,eastern,USA,IA
182,p70,nr5,nr11new,rto6,WNC,IA,eastern,USA,IA
183,p70,nr5,nr11new,rto6,WNC,IA,eastern,USA,IA
184,p71,nr4,nr11new,rto6,WNC,MO,eastern,USA,MO
185,p72,nr4,nr11new,rto6,WNC,MO,eastern,USA,MO
186,p73,nr4,nr11new,rto13,WNC,MO,eastern,USA,MO
187,p84,nr9,nr11new,rto13,WNC,MO,eastern,USA,MO
188,p84,nr9,nr11new,rto13,WNC,MO,eastern,USA,MO
189,p72,nr4,nr11new,rto6,WNC,MO,eastern,USA,MO
190,p72,nr4,nr11new,rto6,WNC,MO,eastern,USA,MO
193,p76,nr4,nr11new,rto6,ENC,WI,eastern,USA,WI
194,p77,nr4,nr11new,rto11,ENC,WI,eastern,USA,WI
195,p78,nr4,nr11new,rto6,ENC,WI,eastern,USA,WI
196,p76,nr4,nr11new,rto6,ENC,WI,eastern,USA,WI
199,p80,nr4,nr17new,rto7,ENC,IL,eastern,USA,IL
200,p81,nr4,nr11new,rto6,ENC,IL,eastern,USA,IL
201,p81,nr4,nr11new,rto6,ENC,IL,eastern,USA,IL
202,p81,nr4,nr11new,rto6,ENC,IL,eastern,USA,IL
203,p82,nr4,nr11new,rto6,ENC,IL,eastern,USA,IL
204,p81,nr4,nr11new,rto6,ENC,IL,eastern,USA,IL
205,p81,nr4,nr11new,rto6,ENC,IL,eastern,USA,IL
207,p80,nr4,nr17new,rto7,ENC,IL,eastern,USA,IL
208,p83,nr4,nr11new,rto6,ENC,IL,eastern,USA,IL
209,p83,nr4,nr11new,rto6,ENC,IL,eastern,USA,IL
210,p83,nr4,nr11new,rto6,ENC,IL,eastern,USA,IL
215,p103,nr1,nr11new,rto6,ENC,MI,eastern,USA,MI
220,p105,nr1,nr11new,rto6,ENC,IN,eastern,USA,IN
221,p105,nr1,nr11new,rto6,ENC,IN,eastern,USA,IN
222,p105,nr1,nr11new,rto6,ENC,IN,eastern,USA,IN
223,p106,nr1,nr11new,rto6,ENC,IN,eastern,USA,IN
224,p107,nr1,nr11new,rto6,ENC,IN,eastern,USA,IN
225,p105,nr1,nr11new,rto6,ENC,IN,eastern,USA,IN
226,p105,nr1,nr11new,rto6,ENC,IN,eastern,USA,IN
228,p112,nr1,nr17new,rto7,ENC,OH,eastern,USA,OH
229,p112,nr1,nr17new,rto7,ENC,OH,eastern,USA,OH
230,p113,nr1,nr17new,rto7,ENC,OH,eastern,USA,OH
231,p114,nr1,nr11new,rto7,ENC,OH,eastern,USA,OH
232,p112,nr1,nr17new,rto7,ENC,OH,eastern,USA,OH
233,p112,nr1,nr17new,rto7,ENC,OH,eastern,USA,OH
235,p112,nr1,nr17new,rto7,ENC,OH,eastern,USA,OH
236,p108,nr1,nr16new,rto6,ESC,KY,eastern,USA,KY
237,p109,nr1,nr16new,rto7,ESC,KY,eastern,USA,KY
238,p109,nr1,nr16new,rto7,ESC,KY,eastern,USA,KY
239,p109,nr1,nr16new,rto7,ESC,KY,eastern,USA,KY
240,p109,nr1,nr16new,rto7,ESC,KY,eastern,USA,KY
241,p109,nr1,nr16new,rto7,ESC,KY,eastern,USA,KY
242,p110,nr1,nr17new,rto7,ESC,KY,eastern,USA,KY
243,p118,nr1,nr17new,rto7,SA,VA,eastern,USA,VA
244,p118,nr1,nr17new,rto7,SA,VA,eastern,USA,VA
245,p118,nr1,nr17new,rto7,SA,VA,eastern,USA,VA
246,p117,nr1,nr17new,rto7,SA,WV,eastern,USA,WV
247,p117,nr1,nr17new,rto7,SA,WV,eastern,USA,WV
248,p117,nr1,nr17new,rto7,SA,WV,eastern,USA,WV
249,p116,nr1,nr17new,rto7,SA,WV,eastern,USA,WV
250,p116,nr1,nr17new,rto7,SA,WV,eastern,USA,WV
251,p115,nr1,nr17new,rto7,MA,PA,eastern,USA,PA
252,p115,nr1,nr17new,rto7,MA,PA,eastern,USA,PA
253,p121,nr1,nr17new,rto7,SA,MD,eastern,USA,RGGI
254,p120,nr1,nr17new,rto7,MA,PA,eastern,USA,PA
255,p119,nr1,nr17new,rto12,MA,PA,eastern,USA,PA
257,p85,nr9,nr12new,rto13,WSC,AR,eastern,USA,AR
258,p85,nr9,nr12new,rto13,WSC,AR,eastern,USA,AR
259,p85,nr9,nr12new,rto13,WSC,AR,eastern,USA,AR
260,p86,nr9,nr12new,rto13,WSC,LA,eastern,USA,LA
262,p87,nr9,nr12new,rto13,ESC,MS,eastern,USA,MS
263,p88,nr9,nr12new,rto14,ESC,MS,eastern,USA,MS
265,p89,nr9,nr13new,rto14,ESC,AL,eastern,USA,AL
266,p89,nr9,nr13new,rto14,ESC,AL,eastern,USA,AL
272,p94,nr9,nr13new,rto9,SA,GA,eastern,USA,GA
273,p94,nr9,nr13new,rto9,SA,GA,eastern,USA,GA
274,p94,nr9,nr13new,rto9,SA,GA,eastern,USA,GA
276,p92,nr9,nr16new,rto14,ESC,TN,eastern,USA,TN
277,p92,nr9,nr16new,rto14,ESC,TN,eastern,USA,TN
278,p92,nr9,nr16new,rto14,ESC,TN,eastern,USA,TN
279,p92,nr9,nr16new,rto14,ESC,TN,eastern,USA,TN
280,p92,nr9,nr16new,rto14,ESC,TN,eastern,USA,TN
281,p92,nr9,nr16new,rto14,ESC,TN,eastern,USA,TN
282,p92,nr9,nr16new,rto14,ESC,TN,eastern,USA,TN
283,p92,nr9,nr16new,rto14,ESC,TN,eastern,USA,TN
284,p92,nr9,nr16new,rto14,ESC,TN,eastern,USA,TN
285,p92,nr9,nr16new,rto14,ESC,TN,eastern,USA,TN
286,p93,nr9,nr16new,rto14,ESC,KY,eastern,USA,KY
287,p93,nr9,nr16new,rto14,ESC,KY,eastern,USA,KY
288,p97,nr9,nr15new,rto15,SA,NC,eastern,USA,NC
289,p97,nr9,nr15new,rto15,SA,NC,eastern,USA,NC
290,p97,nr9,nr15new,rto15,SA,NC,eastern,USA,NC
291,p98,nr9,nr15new,rto15,SA,NC,eastern,USA,NC
295,p95,nr9,nr15new,rto15,SA,SC,eastern,USA,SC
296,p96,nr9,nr15new,rto15,SA,SC,eastern,USA,SC
300,p99,nr9,nr17new,rto7,SA,VA,eastern,USA,VA
301,p100,nr9,nr17new,rto7,SA,VA,eastern,USA,VA
302,p99,nr9,nr17new,rto7,SA,VA,eastern,USA,VA
303,p99,nr9,nr17new,rto7,SA,VA,eastern,USA,VA
304,p99,nr9,nr17new,rto7,SA,VA,eastern,USA,VA
305,p99,nr9,nr17new,rto7,SA,VA,eastern,USA,VA
306,p99,nr9,nr17new,rto7,SA,VA,eastern,USA,VA
308,p116,nr1,nr17new,rto7,SA,WV,eastern,USA,WV
316,p123,nr3,nr17new,rto12,SA,MD,eastern,USA,RGGI
317,p123,nr3,nr17new,rto12,SA,MD,eastern,USA,RGGI
319,p125,nr3,nr17new,rto12,SA,DE,eastern,USA,RGGI
321,p122,nr3,nr17new,rto12,MA,PA,eastern,USA,PA
322,p122,nr3,nr17new,rto12,MA,PA,eastern,USA,PA
323,p122,nr3,nr17new,rto12,MA,PA,eastern,USA,PA
324,p122,nr3,nr17new,rto12,MA,PA,eastern,USA,PA
325,p122,nr3,nr17new,rto12,MA,PA,eastern,USA,PA
326,p122,nr3,nr17new,rto12,MA,PA,eastern,USA,PA
327,p122,nr3,nr17new,rto12,MA,PA,eastern,USA,PA
328,p126,nr3,nr17new,rto12,MA,NJ,eastern,USA,NJ
329,p126,nr3,nr17new,rto12,MA,NJ,eastern,USA,NJ
331,p126,nr3,nr17new,rto12,MA,NJ,eastern,USA,NJ
335,p127,nr6,nr18new,rto17,MA,NY,eastern,USA,RGGI
337,p127,nr6,nr18new,rto17,MA,NY,eastern,USA,RGGI
338,p127,nr6,nr18new,rto17,MA,NY,eastern,USA,RGGI
339,p127,nr6,nr18new,rto17,MA,NY,eastern,USA,RGGI
340,p127,nr6,nr18new,rto17,MA,NY,eastern,USA,RGGI
343,p132,nr7,nr19new,rto18,NE,CT,eastern,USA,RGGI
347,p131,nr7,nr19new,rto18,NE,MA,eastern,USA,RGGI
350,p129,nr7,nr19new,rto18,NE,VT,eastern,USA,RGGI
351,p129,nr7,nr19new,rto18,NE,VT,eastern,USA,RGGI
352,p129,nr7,nr19new,rto18,NE,VT,eastern,USA,RGGI
353,p130,nr7,nr19new,rto18,NE,NH,eastern,USA,RGGI
355,p134,nr7,nr19new,rto18,NE,ME,eastern,USA,RGGI
357,p135,nr13,nr5new,rto4,PA,MEX,WSCC,MEX,MEX
412,p163,nr15,nr27new,rto40,MEX,CHH,mexico,MEX,MEX
413,p164,nr15,nr27new,rto40,MEX,CHH,mexico,MEX,MEX
414,p165,nr15,nr27new,rto40,MEX,CHH,mexico,MEX,MEX
415,p166,nr15,nr27new,rto40,MEX,COA_DGO_NLE,mexico,MEX,MEX
416,p167,nr15,nr27new,rto40,MEX,COA_DGO_NLE,mexico,MEX,MEX
417,p168,nr15,nr27new,rto40,MEX,COA_DGO_NLE,mexico,MEX,MEX
418,p169,nr15,nr27new,rto40,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,MEX
419,p170,nr15,nr27new,rto40,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,MEX
420,p171,nr15,nr27new,rto40,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,MEX
421,p172,nr15,nr27new,rto40,MEX,COA_DGO_NLE,mexico,MEX,MEX
422,p173,nr15,nr27new,rto40,MEX,COA_DGO_NLE,mexico,MEX,MEX
429,p180,nr15,nr27new,rto40,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,MEX,MEX
430,p181,nr15,nr27new,rto40,MEX,SLP,mexico,MEX,MEX
445,p196,nr15,nr27new,rto40,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,MEX
446,p197,nr15,nr27new,rto40,MEX,CAM_CHP_TAB,mexico,MEX,MEX
447,p198,nr15,nr27new,rto40,MEX,YUC,mexico,MEX,MEX
448,p199,nr15,nr27new,rto40,MEX,ROO,mexico,MEX,MEX
449,p200,nr15,nr27new,rto40,MEX,ROO,mexico,MEX,MEX
358,p136,nr13,nr5new,rto4,PA,MEX,WSCC,MEX,MEX
359,p137,nr11,nr20new,rto33,PA,BC,WSCC,CAN,CAN
360,p137,nr11,nr20new,rto33,PA,BC,WSCC,CAN,CAN
361,p137,nr11,nr20new,rto33,PA,BC,WSCC,CAN,CAN
362,p138,nr11,nr20new,rto33,PA,BC,WSCC,CAN,CAN
363,p139,nr11,nr20new,rto33,PA,BC,WSCC,CAN,CAN
364,p139,nr11,nr20new,rto33,PA,BC,WSCC,CAN,CAN
365,p139,nr11,nr20new,rto33,PA,BC,WSCC,CAN,CAN
366,p139,nr11,nr20new,rto33,PA,BC,WSCC,CAN,CAN
367,p140,nr11,nr21new,rto34,MTN,AB,WSCC,CAN,CAN
368,p141,nr11,nr21new,rto34,MTN,AB,WSCC,CAN,CAN
369,p142,nr5,nr22new,rto35,WNC,SK,eastern,CAN,CAN
370,p143,nr5,nr23new,rto36,WNC,MB,eastern,CAN,CAN
371,p144,nr6,nr24new,rto37,MA,ON,eastern,CAN,CAN
