# Full-line and line-end comments can be indicated with # (but use the comment column when possible),,,,,
# This parameter list is in alphabetical order - please add new entries that way,,,,,
param,units,comment,reeds2x,output_rename,input
"repbioprice(r,t)",2004$/MMBtu,highest marginal bioprice of utilized bins for each region,,,
"repgasprice(cendiv,t)",2004$/MMBtu,highest marginal gas price of utilized gas bins for each census division,,,
"repgasprice_r(r,t)",2004$/MMBtu,highest marginal gas price of utilized gas bins for each region,1,,
repgasprice_nat(t),2004$/MMBtu,weighted-average national natural gas price assuming that plants pay the marginal price,,,
"repgasquant(cendiv,t)",Quads,quantity of gas consumed in each census division,,,
"repgasquant_irt(i,r,t)",Quads,quantity of gas consumed by tech and region,,,
repgasquant_nat(t),Quads,national consumption of natural gas,,,
"reqt_price(*,*,r,*,t)",varies,Price of requirements,,,
"reqt_price_sys(*,*,*,t)",varies,System-average price of requirements,,,
"reqt_quant(*,*,r,*,t)",varies,Requirement quantity,,,
"ret_ann(i,r,t)",MW/yr,annual retired capacity by region,,,
"ret_ivrt(i,v,r,t)",MW,retired capacity by region and vintage,1,,
"ret_out(i,r,t)",MW,retired capacity by region,,,
"revenue(rev_cat,i,r,t)",2004$,sum of revenues,,,
"revenue_nat(rev_cat,i,t)",2004$,sum of revenues,,,
"revenue_en(rev_cat,i,r,t)",2004$/MWh,revenues per MWh of generation,,,
"revenue_en_nat(rev_cat,i,t)",2004$/MWh,revenues per MWh of generation,,,
"revenue_cap(rev_cat,i,r,t)",2004$/MW,revenues per MW of capacity,,,
"revenue_cap_nat(rev_cat,i,t)",2004$/MW,revenues per MW of capacity,,,
"site_cap(i,x,t)",MW,capacity by reV site,,,
"site_spurcap(x,t)",MW,spur-line capacity to reV site,,,
"site_spurinv(x,t)",MW,spur-line investment at reV site,,,
"site_gir(i,x,t)",MWgen/MWspur,Generator-to-interconnection ratio by tech,,,
"site_hybridization(x,t)",unitless,"Hybridization factor: 0 for all-PV or all-wind, 1 for 50:50 PV:wind",,,
"site_pv_fraction(x,t)",MWpv/MWgen,Fraction of capacity at reV site that is PV,,,
rggi_price(t),2004$/metric ton,shadow price from RGGI constraint,,,
rggi_quant(t),metric tons,annual CO2 cap for the regional greenhouse gas initiative (RGGI),,,
"stor_energy_cap(i,v,r,t)",MWh,"energy capacity of storage devices by tech, BA, vintage, and year",,,
"stor_inout(i,v,r,t,*)",MWh,Annual energy going into and out of storage,,,
"stor_in(i,v,r,allh,t)",MW,energy going into storage by timeslice,,,
"stor_interday_level(i,v,r,allszn,t)",MWh,storage level for inter-day technogies,,,
"stor_interday_dispatch(i,v,r,allh,t)",MW,storage net dispatch for inter-day technogies,,,
"stor_level(i,v,r,allh,t)",MWh,storage level,,,
"stor_out(i,v,r,allh,t)",MW,energy leaving storage,,,
# Begin system cost parameters,,,,,
"systemcost(sys_costs,t)",2004$,"reported system cost for each component, where inv costs are model year present value and op costs are single year",,,
"systemcost_bulk(sys_costs,t)",2004$,"reported system cost for each component, where inv costs are model year present value and op costs are model year present value until next model year",,,
"systemcost_bulk_ew(sys_costs,t)",2004$,"same as systemcost_bulk, but the end year is only 1 year of operation and CRF times the investment",,,
"systemcost_ba(sys_costs,r,t)",2004$,"reported ba-level system cost for each component, where inv costs are model year present value and op costs are single year",,,
"systemcost_ba_bulk(sys_costs,r,t)",2004$,"reported system cost for each component, where inv costs are model year present value and op costs are model year present value until next model year",,,
"systemcost_ba_bulk_ew(sys_costs,r,t)",2004$,"same as systemcost_ba_bulk, but the end year is only 1 year of operation and CRF times the investment",,,
"systemcost_ba_retailrate(sys_costs,r,t)",2004$,"same as systemcost_ba, but with outputs adapted for the retailrate module",,,
"systemcost_techba(sys_costs,i,r,t)",2004$,"reported tech|ba-level system cost for each component, where inv costs are model year present value and op costs are single year",,,
"systemcost_techba_bulk(sys_costs,i,r,t)",2004$,"reported tech|ba-level system cost for each component, where inv costs are model year present value and op costs are model year present value until next model year",,,
"systemcost_techba_bulk_ew(sys_costs,i,r,t)",2004$,"same as systemcost_techba_bulk, but the end year is only 1 year of operation and CRF times the investment",,,
# end system cost parameters,,,,,
tax_expenditure_itc(t),2004$,ITC tax expenditure,,,
tax_expenditure_ptc(t),2004$,PTC tax expenditure,,,
"tran_flow_all_rep(r,rr,allh,trtype,t)",MW,transmission flows between regions by representative time slice,,,
"tran_flow_all_stress(r,rr,allh,trtype,t)",MW,transmission flows between regions by stress time slice,,,
"tran_flow_rep(r,rr,allh,trtype,t)",MW,"power flow along each transmission line, losses NOT included",,,
"tran_flow_rep_ann(r,rr,trtype,t)",MWh,"annual net energy flow across each transmission interface, losses NOT included",,,
"tran_flow_stress(r,rr,allh,trtype,t)",MW,transmission flows between regions during stress periods,,,
"tran_util_h_rep(r,rr,allh,trtype,t)",fraction,Fractional transmission route utilization by timeslice during representative periods,,,
"tran_util_h_stress(r,rr,allh,trtype,t)",fraction,Fractional transmission route utilization by timeslice during stress periods,,,
"tran_util_ann_rep(r,rr,trtype,t)",fraction,Fractional transmission route utilization by year during representative periods,,,
"tran_util_ann_stress(r,rr,trtype,t)",fraction,Fractional transmission route utilization by year during stress periods,,,
"net_import_h_rep(r,allh,t)",MW,Net power imports (imports - exports with losses on imports) by timeslice during representative periods,,,
"net_import_h_stress(r,allh,t)",MW,Net power imports (imports - exports with losses on imports) by timeslice during stress periods,,,
"net_import_ann_rep(r,t)",MWh,Net energy imports (imports - exports with losses on imports) by year during representative periods,,,
"net_import_ann_stress(r,t)",MWh,Net energy imports (imports - exports with losses on imports) by year during stress periods,,,
"import_h_rep(r,allh,t)",MW,Power imports (with losses) by timeslice for representative periods,,,
"export_h_rep(r,allh,t)",MW,Power exports (no losses) by timeslice for representative periods,,,
"import_ann_rep(r,t)",MWh,Energy imports (with losses) by year for representative periods,,,
"export_ann_rep(r,t)",MWh,Energy exports (no losses) by year for representative periods,,,
"poi_capacity(r,t)",MW,total point-of-connection capacity (used for intra-zone transmission network reinforcement),,,
"tran_hurdle_cost_ann(r,rr,trtype,t)",2004$,annual monetary value associated with hurdle rates on transmission flows,,,
"tran_mi_out(trtype,t)",MW-mi,total transmission capacity*distance for energy trading,,,
"tran_prm_mi_out(trtype,t)",MW-mi,total transmission capacity*distance for capacity trading,,,
"tran_mi_out_detail(r,rr,trtype,t)",MW-mi,total transmission capacity by distance between region,,,
"tran_cap_energy(r,rr,trtype,t)",MW,total transmission capacity for energy trading,,,
"tran_cap_prm(r,rr,trtype,t)",MW,total transmission capacity for PRM trading,,,
"tran_cap_grp(transgrp,transgrpp,t)",MW,transmission flow limit between transgrp regions,,,
"tran_out(r,rr,trtype,t)",MW,"total transmission capacity for energy trading, averaging over forward and reverse directions",1,,
"tran_prm_out(r,rr,trtype,t)",MW,"total transmission capacity for PRM trading, averaging over forward and reverse directions",,,
"captrade(r,rr,trtype,ccseason,t)",MW,planning reserve margin capacity traded from r to rr,,,
"gasshare_ba(r,cendiv,t)",unitless,share of natural gas consumption in BA relative to corresponding cendiv consumption,,,
"gasshare_techba(i,r,cendiv,t)",unitless,share of natural gas consumption in tech-BA combination relative to corresponding cendiv consumption,,,
"gasshare_cendiv(cendiv,t)",unitless,share of natural gas consumption in cendiv relative to national consumption,,,
"bioshare_techba(i,r,t)",unitless,share of biofuel consumption in tech-BA combination relative to total BA biofuel consumption,,,
"gascost_cendiv(cendiv,t)",2004$,natual gas fuel cost at cendiv level,,,
"valnew(*,*,*,t)",varies,value of new investments,,,
"water_withdrawal_ivrt(i,v,r,t)",Mgal,"water withdrawal by tech, year, region, and class",,,
"water_consumption_ivrt(i,v,r,t)",Mgal,"water consumption by tech, year, region, and class",,,
"watcap_ivrt(i,v,r,t)",Mgal,"water capacity by tech, year, region, and class",,,
"watcap_out(i,r,t)",Mgal,water capacity by region,,,
"watcap_new_ivrt(i,v,r,t)",Mgal,new water capacity,,,
"watcap_new_out(i,r,t)",Mgal,"new water capacity by region, which are investments from one solve year to the next",,,
"watcap_new_ann_out(i,v,r,t)",Mgal/yr,new annual water capacity by region,,,
"watret_ivrt(i,v,r,t)",Mgal,retired water capacity by region and vintage,,,
"watret_out(i,r,t)",Mgal,retired water capacity by region,,,
"watret_ann_out(i,v,r,t)",Mgal/yr,annual retired water capacity by region,,,
# Parameters defined before e_report.gms - some are used in r2x,,,,,
bcr,,,,,1
biosupply,,,,,1
cap_hyd_szn_adj,,,,,1
capture_rate,,,,,1
cf_adj_t,,,,,1
cf_hyd,,,,,1
cost_cap,,,,,1
cost_cap_fin_mult,,,,,1
cost_cap_fin_mult_noITC,,,,,1
cost_hurdle,,,,,1
cost_scale,,,,,1
cost_vom,,,,,1
cendiv,,,,,1
degrade_annual,,,,,1
e,,,,,1
emit_rate,,,,,1
fuel_price,,,,,1
fuel2tech,,,,,1
h_szn,,,,,1
heat_rate,,,,,1
hierarchy,,,,,1
hours,,,,,1
hydmin,,,,,1
ilr,,,,,1
planned_outage,,,,,1
pvf_capital,,,,,1
pvf_onm,,,,,1
r,,,,,1
rsc_dat,,,,,1
storage_duration,,,,,1
storage_eff,,,,,1
szn_stress_t,,,,,1
tc_phaseout_mult,,,,,1
tranloss,,,,,1
v,,,,,1
valcap_i,,,,,1
z_rep,,,,,1
