st,csapr_cat,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
OH,Budget,17710,17710,17710,17710,17710,17710,17710,17710,17710,17710,17710,8790,8865,8865,8865,8865,8865,8865,8865,8865,8865,8865,8865,8865,8865,8865,8865,8865,8865,8865,8865,8865,8865,8865,8865,8865,8865,8865,8865,8865,8865
OK,Budget,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560,10560
PA,Budget,16285,16285,16285,16285,16285,16285,16285,16285,16285,16285,16285,7601,7595,7595,7595,7595,7595,7595,7595,7595,7595,7595,7595,7595,7595,7595,7595,7595,7595,7595,7595,7595,7595,7595,7595,7595,7595,7595,7595,7595,7595
TN,Budget,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017,7017
TX,Budget,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446,47446
VA,Budget,8366,8366,8366,8366,8366,8366,8366,8366,8366,8366,8366,4096,3535,3610,3323,3323,3323,3323,3323,3323,3323,3323,3323,3323,3323,3323,3323,3323,3323,3323,3323,3323,3323,3323,3323,3323,3323,3323,3323,3323,3323
WV,Budget,16161,16161,16161,16161,16161,16161,16161,16161,16161,16161,16161,12096,11688,11688,11688,11688,11688,11688,11688,11688,11688,11688,11688,11688,11688,11688,11688,11688,11688,11688,11688,11688,11688,11688,11688,11688,11688,11688,11688,11688,11688
WI,Budget,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180,7180
AL,Assurance,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501,14501
AR,Assurance,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109,10109
GA,Assurance,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390,26390
IL,Assurance,16027,16027,16027,16027,16027,16027,16027,16027,16027,16027,16027,9990,9990,8978,8845,8845,8845,8845,8845,8845,8845,8845,8845,8845,8845,8845,8845,8845,8845,8845,8845,8845,8845,8845,8845,8845,8845,8845,8845,8845,8845
IN,Assurance,25579,25579,25579,25579,25579,25579,25579,25579,25579,25579,25579,14326,13810,13779,10497,10497,10497,10497,10497,10497,10497,10497,10497,10497,10497,10497,10497,10497,10497,10497,10497,10497,10497,10497,10497,10497,10497,10497,10497,10497,10497
IA,Assurance,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373,12373
KS,Assurance,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811,8811
KY,Assurance,23177,23177,23177,23177,23177,23177,23177,23177,23177,23177,23177,16794,15423,15423,15423,15423,15423,15423,15423,15423,15423,15423,15423,15423,15423,15423,15423,15423,15423,15423,15423,15423,15423,15423,15423,15423,15423,15423,15423,15423,15423
LA,Assurance,20459,20459,20459,20459,20459,20459,20459,20459,20459,20459,20459,16265,16265,16265,16265,16265,16265,16265,16265,16265,16265,16265,16265,16265,16265,16265,16265,16265,16265,16265,16265,16265,16265,16265,16265,16265,16265,16265,16265,16265,16265
MD,Assurance,4202,4202,4202,4202,4202,4202,4202,4202,4202,4202,4202,1645,1389,1389,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479
MI,Assurance,18686,18686,18686,18686,18686,18686,18686,18686,18686,18686,18686,13970,13490,10949,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741
MS,Assurance,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931
MO,Assurance,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321,17321
NJ,Assurance,2263,2263,2263,2263,2263,2263,2263,2263,2263,2263,2263,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375
NY,Assurance,5636,5636,5636,5636,5636,5636,5636,5636,5636,5636,5636,3749,3749,3754,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735,3735
OH,Assurance,21429,21429,21429,21429,21429,21429,21429,21429,21429,21429,21429,10636,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727
OK,Assurance,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778,12778
PA,Assurance,19705,19705,19705,19705,19705,19705,19705,19705,19705,19705,19705,9197,9190,9190,9190,9190,9190,9190,9190,9190,9190,9190,9190,9190,9190,9190,9190,9190,9190,9190,9190,9190,9190,9190,9190,9190,9190,9190,9190,9190,9190
TN,Assurance,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492,8492
TX,Assurance,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410,57410
VA,Assurance,10124,10124,10124,10124,10124,10124,10124,10124,10124,10124,10124,4956,4277,4369,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020
WV,Assurance,19555,19555,19555,19555,19555,19555,19555,19555,19555,19555,19555,14636,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143,14143
WI,Assurance,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688,8688
