*r,nercr,transreg,cendiv,st,interconnect,country,usda,aggreg
p108,PJM,PJM,ESC,KY,eastern,USA,appalachia,KY
p109,PJM,PJM,ESC,KY,eastern,USA,appalachia,KY
p110,PJM,PJM,ESC,KY,eastern,USA,appalachia,KY
p111,PJM,PJM,ENC,OH,eastern,USA,corn-belt,OH
p112,PJM,PJM,ENC,OH,eastern,USA,corn-belt,OH
p113,PJM,PJM,ENC,OH,eastern,USA,corn-belt,OH
p114,PJM,PJM,ENC,OH,eastern,USA,corn-belt,OH
p115,PJM,PJM,MA,PA,eastern,USA,northeast,PA
p116,PJM,PJM,SA,WV,eastern,USA,appalachia,WV
p117,PJM,PJM,SA,WV,eastern,USA,appalachia,WV
p118,PJM,PJM,SA,VA,eastern,USA,appalachia,VA
p119,PJM,PJM,MA,PA,eastern,USA,northeast,PA
p120,PJM,PJM,MA,PA,eastern,USA,northeast,PA
p121,PJM,PJM,SA,MD,eastern,USA,northeast,MD
p122,PJM,PJM,MA,PA,eastern,USA,northeast,PA
p123,PJM,PJM,SA,MD,eastern,USA,northeast,MD
p124,PJM,PJM,SA,VA,eastern,USA,appalachia,VA
p125,PJM,PJM,SA,DE,eastern,USA,northeast,DE
p126,PJM,PJM,MA,NJ,eastern,USA,northeast,NJ
p127,NPCC_NY,NYISO,MA,NY,eastern,USA,northeast,NY_UP
p128,NPCC_NY,NYISO,MA,NY,eastern,USA,northeast,NY_NYCLI
p129,NPCC_NE,ISONE,NE,VT,eastern,USA,northeast,VT
p130,NPCC_NE,ISONE,NE,NH,eastern,USA,northeast,NH
p131,NPCC_NE,ISONE,NE,MA,eastern,USA,northeast,MA
p132,NPCC_NE,ISONE,NE,CT,eastern,USA,northeast,CT
p133,NPCC_NE,ISONE,NE,RI,eastern,USA,northeast,RI
p134,NPCC_NE,ISONE,NE,ME,eastern,USA,northeast,ME
p135,nrn5,CAISO,PA,MEX,western,MEX,other,MEX
p136,nrn5,CAISO,PA,MEX,western,MEX,other,MEX
p137,nrn20,CAN,PA,BC,western,CAN,other,CAN
p138,nrn20,CAN,PA,BC,western,CAN,other,CAN
p139,nrn20,CAN,PA,BC,western,CAN,other,CAN
p140,nrn21,CAN,MTN,AB,western,CAN,other,CAN
p141,nrn21,CAN,MTN,AB,western,CAN,other,CAN
p142,nrn22,CAN,WNC,SK,eastern,CAN,other,CAN
p143,nrn23,CAN,WNC,MB,eastern,CAN,other,CAN
p144,nrn24,CAN,MA,ON,eastern,CAN,other,CAN
p145,nrn24,CAN,MA,ON,eastern,CAN,other,CAN
p146,nrn24,CAN,MA,ON,eastern,CAN,other,CAN
p147,nrn24,CAN,MA,ON,eastern,CAN,other,CAN
p148,nrn25,CAN,NE,QC,quebec,CAN,other,CAN
p149,nrn25,CAN,NE,QC,quebec,CAN,other,CAN
p150,nrn25,CAN,NE,QC,quebec,CAN,other,CAN
p151,nrn25,CAN,NE,QC,quebec,CAN,other,CAN
p152,nrn26,CAN,NE,NB,eastern,CAN,other,CAN
p153,nrn26,CAN,NE,NS,eastern,CAN,other,CAN
p154,nrn24,CAN,NE,NL,quebec,CAN,other,CAN
p155,nrn24,CAN,NE,NFI,quebec,CAN,other,CAN
p156,nrn26,CAN,NE,PEI,eastern,CAN,other,CAN
p157,nrn27,MEX,MEX,SIN_SON,mexico,MEX,other,MEX
p158,nrn27,MEX,MEX,SIN_SON,mexico,MEX,other,MEX
p159,nrn27,MEX,MEX,SIN_SON,mexico,MEX,other,MEX
p160,nrn27,MEX,MEX,SIN_SON,mexico,MEX,other,MEX
p161,nrn27,MEX,MEX,SIN_SON,mexico,MEX,other,MEX
p162,nrn27,MEX,MEX,SIN_SON,mexico,MEX,other,MEX
p163,nrn27,MEX,MEX,CHH,mexico,MEX,other,MEX
p164,nrn27,MEX,MEX,CHH,mexico,MEX,other,MEX
p165,nrn27,MEX,MEX,CHH,mexico,MEX,other,MEX
p166,nrn27,MEX,MEX,COA_DGO_NLE,mexico,MEX,other,MEX
p167,nrn27,MEX,MEX,COA_DGO_NLE,mexico,MEX,other,MEX
p168,nrn27,MEX,MEX,COA_DGO_NLE,mexico,MEX,other,MEX
p169,nrn27,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,MEX
p170,nrn27,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,MEX
p171,nrn27,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,MEX
p172,nrn27,MEX,MEX,COA_DGO_NLE,mexico,MEX,other,MEX
p173,nrn27,MEX,MEX,COA_DGO_NLE,mexico,MEX,other,MEX
p174,nrn27,MEX,MEX,SLP,mexico,MEX,other,MEX
p175,nrn27,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,MEX
p176,nrn27,MEX,MEX,SLP,mexico,MEX,other,MEX
p177,nrn27,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,MEX
p178,nrn27,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,MEX,other,MEX
p179,nrn27,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,MEX,other,MEX
p180,nrn27,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,MEX,other,MEX
p181,nrn27,MEX,MEX,SLP,mexico,MEX,other,MEX
p182,nrn27,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,MEX,other,MEX
p183,nrn27,MEX,MEX,COL,mexico,MEX,other,MEX
p184,nrn27,MEX,MEX,GRO_MIC,mexico,MEX,other,MEX
p185,nrn27,MEX,MEX,GRO_MIC,mexico,MEX,other,MEX
p186,nrn27,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,MEX,other,MEX
p187,nrn27,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,MEX
p188,nrn27,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,MEX
p189,nrn27,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,MEX
p190,nrn27,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,MEX
p191,nrn27,MEX,MEX,GRO_MIC,mexico,MEX,other,MEX
p192,nrn27,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,MEX
p193,nrn27,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,MEX
p194,nrn27,MEX,MEX,CAM_CHP_TAB,mexico,MEX,other,MEX
p195,nrn27,MEX,MEX,CAM_CHP_TAB,mexico,MEX,other,MEX
p196,nrn27,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,MEX
p197,nrn27,MEX,MEX,CAM_CHP_TAB,mexico,MEX,other,MEX
p198,nrn27,MEX,MEX,YUC,mexico,MEX,other,MEX
p199,nrn27,MEX,MEX,ROO,mexico,MEX,other,MEX
p200,nrn27,MEX,MEX,ROO,mexico,MEX,other,MEX
p201,nrn27,MEX,MEX,BCN,mexico,MEX,other,MEX
p202,nrn27,MEX,MEX,BCN,mexico,MEX,other,MEX
p203,nrn27,MEX,MEX,BCN,mexico,MEX,other,MEX
p204,nrn27,MEX,MEX,BCN,mexico,MEX,other,MEX
p205,nrn27,MEX,MEX,BCS,mexico,MEX,other,MEX
