*r,nercr,transreg,transgrp,cendiv,st,interconnect,country,usda_region,aggreg
p34,WECC_NWPP,WestConnect,WestConnect_North,MTN,CO,western,USA,mountain,p34
p35,SPP,SPP,SPP_North,WNC,MT,eastern,USA,mountain,p35
p36,SPP,SPP,SPP_North,WNC,ND,eastern,USA,northern-plains,p36
p37,MISO,MISO,MISO_North,WNC,ND,eastern,USA,northern-plains,p37
p38,SPP,SPP,SPP_North,WNC,SD,eastern,USA,northern-plains,p38
p39,SPP,SPP,SPP_North,WNC,NE,eastern,USA,northern-plains,p39
p40,SPP,SPP,SPP_North,WNC,NE,eastern,USA,northern-plains,p40
p41,SPP,SPP,SPP_North,WNC,NE,eastern,USA,northern-plains,p41
p42,MISO,MISO,MISO_North,WNC,MN,eastern,USA,lake-states,p42
p43,MISO,MISO,MISO_North,WNC,MN,eastern,USA,lake-states,p43
p44,MISO,MISO,MISO_North,WNC,MN,eastern,USA,lake-states,p44
p45,MISO,MISO,MISO_North,WNC,IA,eastern,USA,corn-belt,p45
p46,MISO,MISO,MISO_North,ENC,WI,eastern,USA,lake-states,p46
p47,SPP,SPP,SPP_South,WSC,NM,eastern,USA,mountain,p47
p48,SPP,SPP,SPP_South,WSC,TX,eastern,USA,southern-plains,p48
p49,SPP,SPP,SPP_South,WSC,OK,eastern,USA,southern-plains,p49
p50,SPP,SPP,SPP_South,WSC,OK,eastern,USA,southern-plains,p50
p51,SPP,SPP,SPP_South,WSC,OK,eastern,USA,southern-plains,p51
p52,SPP,SPP,SPP_South,WNC,KS,eastern,USA,northern-plains,p52
p53,SPP,SPP,SPP_South,WNC,KS,eastern,USA,northern-plains,p53
p54,SPP,SPP,SPP_South,WNC,MO,eastern,USA,corn-belt,p54
p55,SPP,SPP,SPP_South,WNC,MO,eastern,USA,corn-belt,p55
p56,SPP,SPP,SPP_South,WSC,AR,eastern,USA,delta-states,p56
p57,SPP,SPP,SPP_South,WSC,TX,eastern,USA,southern-plains,p57
p58,MISO,MISO,MISO_South,WSC,LA,eastern,USA,delta-states,p58
p59,WECC_SRSG,WestConnect,WestConnect_South,MTN,TX,western,USA,southern-plains,p59
p60,ERCOT,ERCOT,ERCOT,WSC,TX,texas,USA,southern-plains,p60
p61,ERCOT,ERCOT,ERCOT,WSC,TX,texas,USA,southern-plains,p61
p62,ERCOT,ERCOT,ERCOT,WSC,TX,texas,USA,southern-plains,p62
p63,ERCOT,ERCOT,ERCOT,WSC,TX,texas,USA,southern-plains,p63
p64,ERCOT,ERCOT,ERCOT,WSC,TX,texas,USA,southern-plains,p64
p65,ERCOT,ERCOT,ERCOT,WSC,TX,texas,USA,southern-plains,p65
p66,MISO,MISO,MISO_South,WSC,TX,eastern,USA,southern-plains,p66
p67,ERCOT,ERCOT,ERCOT,WSC,TX,texas,USA,southern-plains,p67
p68,MISO,MISO,MISO_North,WNC,MN,eastern,USA,lake-states,p68
p69,MISO,MISO,MISO_North,WNC,IA,eastern,USA,corn-belt,p69
p70,MISO,MISO,MISO_North,WNC,IA,eastern,USA,corn-belt,p70
p71,MISO,MISO,MISO_Central,WNC,MO,eastern,USA,corn-belt,p71
p72,MISO,MISO,MISO_Central,WNC,MO,eastern,USA,corn-belt,p72
p73,MISO,MISO,MISO_Central,WNC,MO,eastern,USA,corn-belt,p73
p74,MISO,MISO,MISO_North,ENC,MI,eastern,USA,lake-states,p74
p75,MISO,MISO,MISO_North,ENC,WI,eastern,USA,lake-states,p75
p76,MISO,MISO,MISO_North,ENC,WI,eastern,USA,lake-states,p76
p77,MISO,MISO,MISO_North,ENC,WI,eastern,USA,lake-states,p77
p78,MISO,MISO,MISO_North,ENC,WI,eastern,USA,lake-states,p78
p79,MISO,MISO,MISO_North,ENC,WI,eastern,USA,lake-states,p79
p80,PJM,PJM,PJM_West,ENC,IL,eastern,USA,corn-belt,p80
p81,MISO,MISO,MISO_Central,ENC,IL,eastern,USA,corn-belt,p81
p82,MISO,MISO,MISO_Central,ENC,IL,eastern,USA,corn-belt,p82
p83,MISO,MISO,MISO_Central,ENC,IL,eastern,USA,corn-belt,p83
p84,MISO,MISO,MISO_Central,WNC,MO,eastern,USA,corn-belt,p84
p85,MISO,MISO,MISO_South,WSC,AR,eastern,USA,delta-states,p85
p86,MISO,MISO,MISO_South,WSC,LA,eastern,USA,delta-states,p86
p87,MISO,MISO,MISO_South,ESC,MS,eastern,USA,delta-states,p87
p88,SERC,SERTP,SERTP,ESC,MS,eastern,USA,delta-states,p88
p89,SERC,SERTP,SERTP,ESC,AL,eastern,USA,southeast,p89
p90,SERC,SERTP,SERTP,ESC,AL,eastern,USA,southeast,p90
p91,SERC,SERTP,SERTP,SA,FL,eastern,USA,southeast,p91
p92,SERC,SERTP,SERTP,ESC,TN,eastern,USA,appalachia,p92
p93,SERC,SERTP,SERTP,ESC,KY,eastern,USA,appalachia,p93
p94,SERC,SERTP,SERTP,SA,GA,eastern,USA,southeast,p94
p95,SERC,SERTP,SERTP,SA,SC,eastern,USA,southeast,p95
p96,SERC,SERTP,SERTP,SA,SC,eastern,USA,southeast,p96
p97,SERC,SERTP,SERTP,SA,NC,eastern,USA,appalachia,p97
p98,SERC,SERTP,SERTP,SA,NC,eastern,USA,appalachia,p98
p99,PJM,PJM,PJM_East,SA,VA,eastern,USA,appalachia,p99
p100,PJM,PJM,PJM_East,SA,VA,eastern,USA,appalachia,p100
p101,SERC,FRCC,FRCC,SA,FL,eastern,USA,southeast,p101
p102,SERC,FRCC,FRCC,SA,FL,eastern,USA,southeast,p102
p103,MISO,MISO,MISO_Central,ENC,MI,eastern,USA,lake-states,p103
p104,PJM,PJM,PJM_West,ENC,MI,eastern,USA,lake-states,p104
p105,MISO,MISO,MISO_Central,ENC,IN,eastern,USA,corn-belt,p105
p106,MISO,MISO,MISO_Central,ENC,IN,eastern,USA,corn-belt,p106
p107,MISO,MISO,MISO_Central,ENC,IN,eastern,USA,corn-belt,p107
p108,MISO,MISO,MISO_Central,ESC,KY,eastern,USA,appalachia,p108
p109,PJM,PJM,PJM_East,ESC,KY,eastern,USA,appalachia,p109
p110,PJM,PJM,PJM_East,ESC,KY,eastern,USA,appalachia,p110
p111,PJM,PJM,PJM_East,ENC,OH,eastern,USA,corn-belt,p111
p112,PJM,PJM,PJM_East,ENC,OH,eastern,USA,corn-belt,p112
p113,PJM,PJM,PJM_East,ENC,OH,eastern,USA,corn-belt,p113
p114,PJM,PJM,PJM_East,ENC,OH,eastern,USA,corn-belt,p114
p115,PJM,PJM,PJM_East,MA,PA,eastern,USA,northeast,p115
p116,PJM,PJM,PJM_East,SA,WV,eastern,USA,appalachia,p116
p117,PJM,PJM,PJM_East,SA,WV,eastern,USA,appalachia,p117
p118,PJM,PJM,PJM_East,SA,VA,eastern,USA,appalachia,p118
p119,PJM,PJM,PJM_East,MA,PA,eastern,USA,northeast,p119
p120,PJM,PJM,PJM_East,MA,PA,eastern,USA,northeast,p120
p121,PJM,PJM,PJM_East,SA,MD,eastern,USA,northeast,p121
p122,PJM,PJM,PJM_East,MA,PA,eastern,USA,northeast,p122
p123,PJM,PJM,PJM_East,SA,MD,eastern,USA,northeast,p123
p124,PJM,PJM,PJM_East,SA,VA,eastern,USA,appalachia,p124
p125,PJM,PJM,PJM_East,SA,DE,eastern,USA,northeast,p125
p126,PJM,PJM,PJM_East,MA,NJ,eastern,USA,northeast,p126
p127,NPCC_NY,NYISO,NYISO,MA,NY,eastern,USA,northeast,p127
p128,NPCC_NY,NYISO,NYISO,MA,NY,eastern,USA,northeast,p128
p129,NPCC_NE,ISONE,ISONE,NE,VT,eastern,USA,northeast,p129
p130,NPCC_NE,ISONE,ISONE,NE,NH,eastern,USA,northeast,p130
p131,NPCC_NE,ISONE,ISONE,NE,MA,eastern,USA,northeast,p131
p132,NPCC_NE,ISONE,ISONE,NE,CT,eastern,USA,northeast,p132
p133,NPCC_NE,ISONE,ISONE,NE,RI,eastern,USA,northeast,p133
p134,NPCC_NE,ISONE,ISONE,NE,ME,eastern,USA,northeast,p134
p135,nrn5,CAISO,CAISO,PA,MEX,western,MEX,other,p135
p136,nrn5,CAISO,CAISO,PA,MEX,western,MEX,other,p136
p137,nrn20,CAN,CAN,PA,BC,western,CAN,other,p137
p138,nrn20,CAN,CAN,PA,BC,western,CAN,other,p138
p139,nrn20,CAN,CAN,PA,BC,western,CAN,other,p139
p140,nrn21,CAN,CAN,MTN,AB,western,CAN,other,p140
p141,nrn21,CAN,CAN,MTN,AB,western,CAN,other,p141
p142,nrn22,CAN,CAN,WNC,SK,eastern,CAN,other,p142
p143,nrn23,CAN,CAN,WNC,MB,eastern,CAN,other,p143
p144,nrn24,CAN,CAN,MA,ON,eastern,CAN,other,p144
p145,nrn24,CAN,CAN,MA,ON,eastern,CAN,other,p145
p146,nrn24,CAN,CAN,MA,ON,eastern,CAN,other,p146
p147,nrn24,CAN,CAN,MA,ON,eastern,CAN,other,p147
p148,nrn25,CAN,CAN,NE,QC,quebec,CAN,other,p148
p149,nrn25,CAN,CAN,NE,QC,quebec,CAN,other,p149
p150,nrn25,CAN,CAN,NE,QC,quebec,CAN,other,p150
p151,nrn25,CAN,CAN,NE,QC,quebec,CAN,other,p151
p152,nrn26,CAN,CAN,NE,NB,eastern,CAN,other,p152
p153,nrn26,CAN,CAN,NE,NS,eastern,CAN,other,p153
p154,nrn24,CAN,CAN,NE,NL,quebec,CAN,other,p154
p155,nrn24,CAN,CAN,NE,NFI,quebec,CAN,other,p155
p156,nrn26,CAN,CAN,NE,PEI,eastern,CAN,other,p156
p157,nrn27,MEX,MEX,MEX,SIN_SON,mexico,MEX,other,p157
p158,nrn27,MEX,MEX,MEX,SIN_SON,mexico,MEX,other,p158
p159,nrn27,MEX,MEX,MEX,SIN_SON,mexico,MEX,other,p159
p160,nrn27,MEX,MEX,MEX,SIN_SON,mexico,MEX,other,p160
p161,nrn27,MEX,MEX,MEX,SIN_SON,mexico,MEX,other,p161
p162,nrn27,MEX,MEX,MEX,SIN_SON,mexico,MEX,other,p162
p163,nrn27,MEX,MEX,MEX,CHH,mexico,MEX,other,p163
p164,nrn27,MEX,MEX,MEX,CHH,mexico,MEX,other,p164
p165,nrn27,MEX,MEX,MEX,CHH,mexico,MEX,other,p165
p166,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,MEX,other,p166
p167,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,MEX,other,p167
p168,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,MEX,other,p168
p169,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,p169
p170,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,p170
p171,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,p171
p172,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,MEX,other,p172
p173,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,MEX,other,p173
p174,nrn27,MEX,MEX,MEX,SLP,mexico,MEX,other,p174
p175,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,p175
p176,nrn27,MEX,MEX,MEX,SLP,mexico,MEX,other,p176
p177,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,p177
p178,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,MEX,other,p178
p179,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,MEX,other,p179
p180,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,MEX,other,p180
p181,nrn27,MEX,MEX,MEX,SLP,mexico,MEX,other,p181
p182,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,MEX,other,p182
p183,nrn27,MEX,MEX,MEX,COL,mexico,MEX,other,p183
p184,nrn27,MEX,MEX,MEX,GRO_MIC,mexico,MEX,other,p184
p185,nrn27,MEX,MEX,MEX,GRO_MIC,mexico,MEX,other,p185
p186,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,MEX,other,p186
p187,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,p187
p188,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,p188
p189,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,p189
p190,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,p190
p191,nrn27,MEX,MEX,MEX,GRO_MIC,mexico,MEX,other,p191
p192,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,p192
p193,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,p193
p194,nrn27,MEX,MEX,MEX,CAM_CHP_TAB,mexico,MEX,other,p194
p195,nrn27,MEX,MEX,MEX,CAM_CHP_TAB,mexico,MEX,other,p195
p196,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,other,p196
p197,nrn27,MEX,MEX,MEX,CAM_CHP_TAB,mexico,MEX,other,p197
p198,nrn27,MEX,MEX,MEX,YUC,mexico,MEX,other,p198
p199,nrn27,MEX,MEX,MEX,ROO,mexico,MEX,other,p199
p200,nrn27,MEX,MEX,MEX,ROO,mexico,MEX,other,p200
p201,nrn27,MEX,MEX,MEX,BCN,mexico,MEX,other,p201
p202,nrn27,MEX,MEX,MEX,BCN,mexico,MEX,other,p202
p203,nrn27,MEX,MEX,MEX,BCN,mexico,MEX,other,p203
p204,nrn27,MEX,MEX,MEX,BCN,mexico,MEX,other,p204
p205,nrn27,MEX,MEX,MEX,BCS,mexico,MEX,other,p205
