r,BATTERY|PVB,COAL|BIO,COMBINED_CYCLE,COMBUSTION_TURBINE|CONSUME|LFILL|OGS,NUCLEAR,TES|CSP
p01057,0.0154,-0.0224,-0.0231,-0.0209,-0.002,-0.013
p01059,0.019,-0.0162,-0.0196,-0.017,0.0021,-0.0108
p01061,0.0034,-0.0452,-0.0356,-0.0299,-0.0145,-0.02
p01063,0.0133,-0.0253,-0.0241,-0.0214,-0.0034,-0.0121
p01065,0.0129,-0.0252,-0.0239,-0.0214,-0.0036,-0.0123
p01067,0.0047,-0.0425,-0.0345,-0.0284,-0.0127,-0.0196
p01069,0.0004,-0.051,-0.0391,-0.0321,-0.0179,-0.0226
p01071,0.0131,-0.0234,-0.025,-0.0239,-0.0046,-0.016
p01073,0.0146,-0.0208,-0.0226,-0.0207,-0.0017,-0.0133
p01075,0.0162,-0.0225,-0.023,-0.02,-0.0014,-0.0123
p01077,0.0189,-0.0175,-0.0201,-0.0177,0.0015,-0.0115
p01079,0.0148,-0.0231,-0.0246,-0.0232,-0.0039,-0.0154
p01081,0.0148,-0.0137,-0.0185,-0.0155,0.0031,-0.0104
p01083,0.0125,-0.0264,-0.0271,-0.0263,-0.0065,-0.0177
p01085,0.0103,-0.0284,-0.0262,-0.0228,-0.0055,-0.0139
p01087,0.013,-0.0205,-0.0223,-0.0188,-0.0005,-0.0124
p01089,0.0106,-0.029,-0.0292,-0.029,-0.0091,-0.0193
p01091,0.0097,-0.0306,-0.0265,-0.024,-0.0069,-0.0134
p01093,0.0176,-0.019,-0.0211,-0.0188,0.0003,-0.0119
p01095,0.0118,-0.026,-0.027,-0.0262,-0.0066,-0.0175
p01097,-0.0027,-0.0494,-0.0352,-0.0342,-0.0211,-0.0171
p01099,0.0056,-0.037,-0.0299,-0.0272,-0.0112,-0.015
p01101,0.0117,-0.0264,-0.0252,-0.0216,-0.0037,-0.0137
p01103,0.0119,-0.0272,-0.0278,-0.0272,-0.0073,-0.0181
p01105,0.0124,-0.0249,-0.0239,-0.0213,-0.0036,-0.0125
p01107,0.0148,-0.0236,-0.0233,-0.0207,-0.0023,-0.012
p01109,0.0086,-0.0337,-0.0295,-0.0248,-0.0078,-0.0162
p01111,0.0172,-0.0032,-0.0127,-0.0109,0.008,-0.0073
p01113,0.0125,-0.0212,-0.0227,-0.0186,-0.001,-0.0125
p01115,0.0141,-0.0178,-0.0211,-0.0197,-0.0008,-0.0128
p01117,0.0143,-0.0189,-0.0213,-0.0193,-0.0007,-0.0121
p01119,0.0119,-0.0279,-0.0252,-0.0227,-0.005,-0.0124
p01121,0.0143,-0.0143,-0.0187,-0.0169,0.0015,-0.0109
p01123,0.0152,-0.0141,-0.0186,-0.016,0.0028,-0.0105
p01125,0.0145,-0.0224,-0.023,-0.0208,-0.002,-0.0126
p01127,0.0147,-0.0225,-0.0238,-0.0219,-0.0027,-0.0141
p01129,0.0027,-0.042,-0.0317,-0.0302,-0.0152,-0.0153
p01131,0.0082,-0.0327,-0.0278,-0.0249,-0.0083,-0.0141
p01133,0.0145,-0.0238,-0.0248,-0.0231,-0.0037,-0.015
p04001,0.022,0.0572,0.0275,0.0253,0.0337,0.0199
p04003,0.0154,0.0629,0.0322,0.0297,0.0336,0.0225
p04005,0.0307,0.0929,0.0538,0.0492,0.0525,0.0353
p04007,0.0033,0.0484,0.0224,0.0212,0.0229,0.0171
p04009,0.0111,0.0554,0.0269,0.025,0.0288,0.0196
p04011,0.0167,0.0568,0.0272,0.0252,0.0316,0.0197
p04012,0.0286,0.1107,0.0659,0.0603,0.0593,0.0416
p04013,-0.0023,0.0452,0.0204,0.0194,0.0195,0.0159
p04015,0.054,0.1492,0.0936,0.0853,0.0855,0.0589
p04017,0.0201,0.0634,0.0327,0.03,0.0357,0.023
p04019,0.0088,0.0645,0.0335,0.0311,0.0319,0.0232
p04021,-0.0018,0.0433,0.0191,0.0181,0.0188,0.0151
p04023,0.0153,0.0728,0.0391,0.0361,0.038,0.0263
p04025,0.0163,0.0787,0.0437,0.0404,0.0409,0.0294
p04027,0.0255,0.1072,0.0634,0.0581,0.0566,0.0398
p05001,0.028,-0.0236,-0.0249,-0.0168,0.0024,-0.0081
p05003,0.0222,-0.0268,-0.0262,-0.0198,-0.0013,-0.01
p05005,0.0278,0.0082,-0.0035,0.0009,0.0154,0.0027
p05007,0.0161,0.0068,-0.0036,-0.0022,0.0088,0.0015
p05009,0.0241,0.0052,-0.005,-0.0014,0.0124,0.002
p05011,0.0246,-0.0272,-0.027,-0.0195,-0.0008,-0.01
p05013,0.0248,-0.028,-0.0272,-0.0198,-0.0011,-0.01
p05015,0.0212,0.0077,-0.0034,-0.0005,0.0118,0.0025
p05017,0.0225,-0.0251,-0.0247,-0.0189,-0.0002,-0.0095
p05019,0.025,-0.0254,-0.0261,-0.0183,-0.0004,-0.0091
p05021,0.0353,0.0293,0.0112,0.0144,0.0285,0.0099
p05023,0.029,-0.0175,-0.0211,-0.0132,0.005,-0.0059
p05025,0.0272,-0.0276,-0.0277,-0.019,0.0,-0.01
p05027,0.0181,-0.0318,-0.0296,-0.0235,-0.0061,-0.0121
p05029,0.029,-0.0241,-0.0257,-0.0169,0.0022,-0.008
p05031,0.0319,0.0094,-0.0024,0.0024,0.0186,0.0029
p05033,0.0169,-0.0101,-0.0152,-0.0114,0.0019,-0.0043
p05035,0.0294,-0.0022,-0.0099,-0.0047,0.0127,-0.0016
p05037,0.0296,-0.0077,-0.0137,-0.0077,0.0102,-0.0027
p05039,0.027,-0.028,-0.0282,-0.0194,-0.0004,-0.01
p05041,0.0257,-0.0238,-0.0247,-0.0175,0.0015,-0.0085
p05043,0.0248,-0.0262,-0.0262,-0.019,-0.0001,-0.0094
p05045,0.0296,-0.0267,-0.0275,-0.0182,0.0013,-0.009
p05047,0.0206,-0.0115,-0.0162,-0.0115,0.0033,-0.0045
p05049,0.0301,0.0144,0.0008,0.0048,0.0194,0.005
p05051,0.0275,-0.0254,-0.0266,-0.0179,0.0009,-0.0089
p05053,0.0292,-0.0285,-0.0287,-0.0192,0.0004,-0.0097
p05055,0.034,0.0212,0.0054,0.0095,0.0243,0.0069
p05057,0.0203,-0.0244,-0.0247,-0.0186,-0.002,-0.009
p05059,0.0275,-0.0267,-0.0273,-0.0187,0.0004,-0.0091
p05061,0.0194,-0.0232,-0.0237,-0.0182,-0.0021,-0.0085
p05063,0.0292,-0.0069,-0.0138,-0.0073,0.0098,-0.0025
p05065,0.0293,0.0015,-0.0079,-0.0025,0.0133,0.0005
p05067,0.0295,-0.0061,-0.0131,-0.0066,0.0105,-0.0022
p05069,0.0288,-0.0273,-0.0279,-0.0187,0.0007,-0.0093
p05071,0.024,-0.0122,-0.0171,-0.0113,0.0046,-0.0045
p05073,0.0156,-0.0322,-0.0295,-0.0239,-0.0074,-0.0122
p05075,0.0313,0.0092,-0.0027,0.0023,0.0176,0.003
p05077,0.0288,-0.0145,-0.0185,-0.0118,0.007,-0.0052
p05079,0.0272,-0.0267,-0.027,-0.0189,0.0003,-0.009
p05081,0.0163,-0.0248,-0.0246,-0.0194,-0.0041,-0.0092
p05083,0.0229,-0.0176,-0.0204,-0.0143,0.0019,-0.0065
p05085,0.0298,-0.0282,-0.0285,-0.019,0.0006,-0.0095
p05087,0.0206,-0.0004,-0.0087,-0.0054,0.0081,-0.0006
p05089,0.0264,0.0055,-0.0048,-0.0005,0.0137,0.0017
p05091,0.0156,-0.029,-0.0271,-0.0219,-0.0062,-0.0112
p05093,0.0324,0.0125,-0.0001,0.0042,0.0204,0.0034
p05095,0.0285,-0.0207,-0.023,-0.0152,0.0038,-0.007
p05097,0.0243,-0.0226,-0.024,-0.0168,0.0006,-0.0078
p05099,0.0213,-0.0268,-0.0264,-0.0197,-0.0025,-0.0099
p05101,0.0243,-0.0046,-0.0117,-0.007,0.0083,-0.0017
p05103,0.0234,-0.0282,-0.028,-0.0206,-0.0023,-0.0104
p05105,0.0286,-0.026,-0.0268,-0.018,0.0011,-0.0088
p05107,0.028,-0.0176,-0.021,-0.0139,0.0052,-0.0065
p05109,0.0223,-0.0236,-0.0245,-0.018,-0.0009,-0.0082
p05111,0.0301,-0.0002,-0.0087,-0.003,0.0137,-0.0004
p05113,0.0189,-0.021,-0.0225,-0.017,-0.0015,-0.0079
p05115,0.0271,-0.0177,-0.0211,-0.0137,0.0041,-0.0061
p05117,0.029,-0.0247,-0.0259,-0.0171,0.0022,-0.0082
p05119,0.03,-0.0295,-0.0297,-0.0198,0.0001,-0.01
p05121,0.0339,0.0233,0.0068,0.0105,0.025,0.0079
p05123,0.0292,-0.0111,-0.0161,-0.0097,0.0086,-0.0039
p05125,0.0296,-0.028,-0.0285,-0.0189,0.0007,-0.0093
p05127,0.0213,-0.0179,-0.0207,-0.0148,0.001,-0.0067
p05129,0.027,-0.006,-0.0131,-0.0072,0.0089,-0.0022
p05131,0.0181,-0.0149,-0.0182,-0.0139,0.0005,-0.0057
p05133,0.0173,-0.0233,-0.0237,-0.0185,-0.0032,-0.0089
p05135,0.0308,0.0103,-0.0018,0.0028,0.018,0.0036
p05137,0.0286,-0.0071,-0.0137,-0.0074,0.0094,-0.0024
p05139,0.021,-0.0305,-0.0286,-0.022,-0.0038,-0.0112
p05141,0.0284,-0.0174,-0.021,-0.0133,0.0046,-0.0059
p05143,0.0168,-0.0017,-0.0094,-0.0067,0.0056,-0.0015
p05145,0.029,-0.0222,-0.0245,-0.0158,0.003,-0.0075
p05147,0.0289,-0.0171,-0.0204,-0.0128,0.0056,-0.0057
p05149,0.0259,-0.0218,-0.0237,-0.0161,0.0016,-0.0076
p06001,0.0967,0.3577,0.2614,0.2373,0.1888,0.1392
p06003,0.0778,0.2878,0.1869,0.1707,0.1544,0.1067
p06005,0.0787,0.2968,0.1912,0.1741,0.1585,0.1094
p06007,0.0814,0.2999,0.1982,0.1794,0.1601,0.1121
p06009,0.0765,0.2924,0.1863,0.1713,0.1563,0.1072
p06011,0.0838,0.3105,0.2073,0.1874,0.1653,0.1165
p06013,0.0952,0.3519,0.2541,0.2305,0.186,0.1362
p06015,0.0717,0.2397,0.1627,0.1498,0.1306,0.0916
p06017,0.0794,0.2966,0.1919,0.1741,0.1584,0.1098
p06019,0.0757,0.2702,0.1753,0.1613,0.1457,0.1008
p06021,0.0833,0.3058,0.2055,0.1861,0.1632,0.115
p06023,0.079,0.2779,0.1897,0.1734,0.1495,0.1058
p06025,0.0557,0.1847,0.1185,0.1075,0.1008,0.0696
p06027,0.072,0.2268,0.1467,0.1342,0.1254,0.0866
p06029,0.0729,0.2442,0.1552,0.1434,0.1329,0.0915
p06031,0.0741,0.2576,0.1658,0.153,0.1393,0.0965
p06033,0.0864,0.3182,0.218,0.1973,0.1693,0.1206
p06035,0.0738,0.2591,0.1714,0.1565,0.1401,0.0975
p06037,0.0857,0.2625,0.1735,0.1553,0.1453,0.0976
p06039,0.076,0.28,0.1808,0.1666,0.1505,0.1037
p06041,0.1039,0.3793,0.2864,0.2591,0.1997,0.1499
p06043,0.0757,0.2843,0.1819,0.1682,0.1525,0.1047
p06045,0.0859,0.3131,0.2162,0.1962,0.1668,0.1193
p06047,0.0754,0.2894,0.1844,0.1712,0.1548,0.1059
p06049,0.067,0.2236,0.1489,0.1367,0.1221,0.0847
p06051,0.0759,0.2698,0.1753,0.1606,0.1457,0.1006
p06053,0.0806,0.293,0.1966,0.1803,0.1568,0.1104
p06055,0.0902,0.3337,0.2329,0.2103,0.1769,0.1273
p06057,0.0803,0.2971,0.1938,0.1755,0.1587,0.1104
p06059,0.0867,0.2634,0.1748,0.1559,0.1459,0.0978
p06061,0.0801,0.2978,0.1931,0.1746,0.1591,0.1103
p06063,0.0792,0.2879,0.1902,0.1728,0.1543,0.1077
p06065,0.0668,0.2101,0.1365,0.1233,0.116,0.0792
p06067,0.0802,0.3015,0.1926,0.1731,0.1608,0.1109
p06069,0.0795,0.2951,0.1955,0.1798,0.1577,0.1102
p06071,0.0696,0.2082,0.135,0.1224,0.1163,0.0798
p06073,0.074,0.2329,0.1526,0.1375,0.1284,0.0872
p06075,0.1095,0.3985,0.3085,0.2785,0.2095,0.1595
p06077,0.0766,0.296,0.1889,0.1743,0.158,0.1082
p06079,0.0756,0.2614,0.17,0.1563,0.1414,0.0982
p06081,0.1039,0.3801,0.2873,0.2601,0.1999,0.1501
p06083,0.0767,0.254,0.1647,0.1506,0.1384,0.0952
p06085,0.0872,0.3267,0.2265,0.2074,0.1735,0.1242
p06087,0.0904,0.3345,0.2364,0.2158,0.1775,0.1285
p06089,0.0775,0.2743,0.1844,0.1684,0.1476,0.1039
p06091,0.0796,0.2921,0.1916,0.1741,0.1562,0.1088
p06093,0.0714,0.242,0.1632,0.15,0.1314,0.0921
p06095,0.0878,0.3264,0.2234,0.2016,0.1733,0.1234
p06097,0.0937,0.3441,0.2468,0.2234,0.1821,0.133
p06099,0.073,0.2869,0.1787,0.167,0.1536,0.1037
p06101,0.0813,0.3039,0.1971,0.1773,0.1621,0.1126
p06103,0.0812,0.2948,0.1977,0.1795,0.1577,0.111
p06105,0.0792,0.2808,0.1906,0.1739,0.1508,0.1066
p06107,0.0729,0.2482,0.1588,0.1466,0.1348,0.0932
p06109,0.0761,0.2867,0.1836,0.1691,0.1536,0.1054
p06111,0.0802,0.2556,0.1665,0.1509,0.1403,0.0954
p06113,0.0822,0.307,0.1999,0.1797,0.1636,0.1138
p06115,0.0811,0.3022,0.1971,0.1778,0.1613,0.1122
p08001,-0.0095,-0.018,-0.0184,-0.0184,-0.0178,-0.0084
p08003,0.0035,0.0014,-0.0085,-0.0085,-0.0003,-0.0015
p08005,-0.0094,-0.0183,-0.0187,-0.0187,-0.0183,-0.0088
p08007,0.0135,0.0204,0.0027,0.0022,0.0132,0.0055
p08009,-0.001,-0.0049,-0.0117,-0.0123,-0.0058,-0.0038
p08011,-0.0032,-0.0071,-0.0125,-0.0129,-0.0081,-0.0042
p08013,-0.0094,-0.0177,-0.0181,-0.0181,-0.0177,-0.0082
p08014,-0.0094,-0.0177,-0.0181,-0.0181,-0.0177,-0.0082
p08015,-0.0037,-0.0081,-0.0127,-0.0129,-0.0093,-0.0044
p08017,-0.0054,-0.0096,-0.0134,-0.0138,-0.0103,-0.0049
p08019,-0.0093,-0.0183,-0.0187,-0.0187,-0.018,-0.0087
p08021,0.011,0.0138,-0.0018,-0.002,0.0087,0.0028
p08023,0.0057,0.0041,-0.0073,-0.0073,0.0018,-0.0007
p08025,-0.0045,-0.012,-0.0155,-0.0155,-0.0112,-0.006
p08027,-0.0024,-0.0075,-0.013,-0.013,-0.008,-0.0045
p08029,0.0057,0.0064,-0.0034,-0.004,0.0035,0.002
p08031,-0.01,-0.02,-0.02,-0.02,-0.02,-0.01
p08033,0.0134,0.0219,0.0052,0.0045,0.0145,0.0073
p08035,-0.0094,-0.0187,-0.0192,-0.0192,-0.0185,-0.0092
p08037,-0.0044,-0.0089,-0.0125,-0.0128,-0.0097,-0.0041
p08039,-0.0084,-0.0169,-0.0178,-0.0178,-0.0166,-0.0079
p08041,-0.0072,-0.0155,-0.0172,-0.0172,-0.0152,-0.0076
p08043,-0.0048,-0.0113,-0.0149,-0.0149,-0.0114,-0.0058
p08045,0.004,0.0021,-0.0058,-0.0063,0.0009,0.0006
p08047,-0.01,-0.019,-0.019,-0.019,-0.019,-0.009
p08049,-0.0079,-0.0142,-0.0155,-0.0155,-0.0142,-0.0061
p08051,0.0015,0.0008,-0.0072,-0.0075,-0.0019,-0.0006
p08053,0.0085,0.0126,-0.0009,-0.0014,0.0073,0.0033
p08055,0.0004,-0.0037,-0.0112,-0.0112,-0.0046,-0.0032
p08057,-0.0075,-0.0115,-0.0132,-0.0132,-0.0113,-0.0037
p08059,-0.0099,-0.0194,-0.0196,-0.0196,-0.0194,-0.0096
p08061,-0.0044,-0.0089,-0.0134,-0.0137,-0.0096,-0.0048
p08063,-0.0063,-0.0103,-0.0135,-0.014,-0.0111,-0.0048
p08065,-0.0049,-0.0096,-0.0131,-0.0133,-0.0107,-0.0047
p08067,0.014,0.0224,0.0045,0.0039,0.0147,0.0067
p08069,-0.0091,-0.0123,-0.0129,-0.0129,-0.0122,-0.0032
p08071,0.0018,-0.0022,-0.0106,-0.0108,-0.0032,-0.0029
p08073,-0.0066,-0.0136,-0.016,-0.0161,-0.0134,-0.0065
p08075,-0.0087,-0.0098,-0.0118,-0.0119,-0.0108,-0.0029
p08077,0.0087,0.0097,-0.0015,-0.0021,0.0071,0.0035
p08079,0.0088,0.0131,-0.0008,-0.0013,0.0075,0.0034
p08081,0.0052,0.0002,-0.0068,-0.0072,0.0018,0.0005
p08083,0.0172,0.0322,0.0117,0.0104,0.0206,0.011
p08085,0.0097,0.0136,0.0006,0.0,0.009,0.0045
p08087,-0.0089,-0.0142,-0.0153,-0.0153,-0.0142,-0.0053
p08089,-0.0023,-0.0085,-0.0139,-0.014,-0.0085,-0.005
p08091,0.0082,0.012,-0.0009,-0.0014,0.007,0.0035
p08093,-0.0076,-0.0157,-0.0172,-0.0172,-0.0156,-0.0076
p08095,-0.0087,-0.0091,-0.0117,-0.012,-0.0108,-0.0029
p08097,-0.0021,-0.0053,-0.0105,-0.0107,-0.0067,-0.0027
p08099,-0.0029,-0.007,-0.0125,-0.013,-0.0076,-0.004
p08101,-0.0035,-0.0105,-0.0148,-0.0148,-0.0102,-0.0055
p08103,0.0059,0.003,-0.0052,-0.0056,0.0029,0.0013
p08105,0.0074,0.0101,-0.003,-0.0033,0.0053,0.002
p08107,-0.0041,-0.008,-0.0114,-0.0115,-0.0079,-0.0027
p08109,0.0017,0.0002,-0.0082,-0.0084,-0.0023,-0.0014
p08111,0.0102,0.016,0.001,0.0003,0.0097,0.0047
p08113,0.0119,0.0184,0.0031,0.0024,0.012,0.006
p08115,-0.0091,-0.0085,-0.0108,-0.0116,-0.0102,-0.0027
p08117,-0.0074,-0.0144,-0.0159,-0.0159,-0.0148,-0.0065
p08119,-0.0077,-0.0161,-0.0176,-0.0176,-0.0158,-0.0078
p08121,-0.008,-0.0132,-0.0148,-0.015,-0.0132,-0.0053
p08123,-0.0093,-0.0129,-0.0136,-0.0136,-0.013,-0.0038
p08125,-0.0071,-0.01,-0.013,-0.0133,-0.0108,-0.0042
p09110,0.0501,0.2027,0.1319,0.1128,0.1023,0.0719
p09120,0.0685,0.3203,0.2118,0.1908,0.1613,0.1213
p09130,0.0525,0.2192,0.143,0.1241,0.1112,0.0793
p09140,0.0565,0.2428,0.1593,0.1395,0.1223,0.0889
p09150,0.0478,0.1924,0.1243,0.1093,0.1018,0.0708
p09160,0.0536,0.2261,0.1479,0.1284,0.1141,0.0821
p09170,0.0577,0.2517,0.1653,0.1455,0.1269,0.0928
p09180,0.05,0.2071,0.1344,0.118,0.1076,0.0758
p09190,0.0703,0.3318,0.2195,0.1978,0.1665,0.1261
p10001,0.0125,0.1656,0.1162,0.1064,0.0698,0.0675
p10003,0.029,0.19,0.1324,0.1201,0.0884,0.0751
p10005,0.0193,0.1547,0.1068,0.0968,0.0696,0.0609
p11001,0.01,0.039,0.028,0.019,0.019,0.009
p12001,0.0043,-0.0494,-0.0393,-0.0309,-0.0165,-0.0214
p12003,0.0072,-0.048,-0.0385,-0.0305,-0.0142,-0.0215
p12005,-0.0008,-0.0538,-0.0406,-0.0334,-0.0197,-0.0232
p12007,0.0065,-0.0482,-0.0387,-0.0305,-0.0148,-0.0212
p12009,0.0061,-0.0461,-0.0379,-0.029,-0.0149,-0.0195
p12011,0.0068,-0.0444,-0.0366,-0.0283,-0.0138,-0.019
p12013,-0.0047,-0.0608,-0.0449,-0.036,-0.0241,-0.0261
p12015,0.0023,-0.048,-0.0389,-0.0298,-0.0178,-0.02
p12017,0.0017,-0.0493,-0.0396,-0.0301,-0.0185,-0.0202
p12019,0.009,-0.0461,-0.0378,-0.0296,-0.0129,-0.0205
p12021,0.005,-0.0456,-0.0373,-0.029,-0.0153,-0.019
p12023,0.0039,-0.0509,-0.0401,-0.0318,-0.0168,-0.0224
p12027,0.0018,-0.0487,-0.039,-0.03,-0.0182,-0.02
p12029,-0.0003,-0.0547,-0.0419,-0.0332,-0.0204,-0.0237
p12031,0.0123,-0.0442,-0.037,-0.029,-0.0105,-0.0201
p12033,0.0021,-0.0428,-0.0327,-0.0302,-0.0154,-0.016
p12035,0.0088,-0.0454,-0.0377,-0.029,-0.013,-0.02
p12037,-0.0058,-0.0624,-0.0459,-0.0369,-0.0254,-0.0269
p12039,-0.0085,-0.0673,-0.0485,-0.039,-0.0284,-0.029
p12041,0.0015,-0.0525,-0.041,-0.0323,-0.0185,-0.0228
p12043,0.0038,-0.0469,-0.0381,-0.029,-0.0165,-0.0196
p12045,-0.0033,-0.0585,-0.0433,-0.0352,-0.0227,-0.0252
p12047,0.0011,-0.0541,-0.0416,-0.0331,-0.019,-0.0239
p12049,0.0012,-0.049,-0.0395,-0.03,-0.0189,-0.02
p12051,0.0045,-0.0463,-0.0377,-0.029,-0.0158,-0.019
p12053,0.001,-0.0497,-0.04,-0.03,-0.019,-0.02
p12055,0.0028,-0.0479,-0.0388,-0.0295,-0.0176,-0.02
p12057,0.0,-0.05,-0.04,-0.03,-0.02,-0.02
p12059,0.0021,-0.0479,-0.0374,-0.0309,-0.0161,-0.021
p12061,0.0056,-0.0461,-0.0378,-0.029,-0.0153,-0.0192
p12063,-0.0029,-0.0575,-0.0429,-0.0348,-0.0221,-0.0251
p12065,-0.0087,-0.0678,-0.0488,-0.0392,-0.0285,-0.0292
p12067,-0.002,-0.058,-0.0437,-0.0348,-0.022,-0.0252
p12069,0.0033,-0.0482,-0.0388,-0.0299,-0.0172,-0.02
p12071,0.0032,-0.0472,-0.0382,-0.029,-0.0169,-0.0197
p12073,-0.0098,-0.0696,-0.0498,-0.0399,-0.0298,-0.0299
p12075,0.002,-0.0508,-0.04,-0.0313,-0.0182,-0.0216
p12077,-0.0071,-0.0649,-0.0471,-0.0379,-0.0267,-0.028
p12079,-0.0048,-0.0619,-0.0456,-0.0366,-0.0248,-0.0268
p12081,0.0005,-0.0498,-0.0399,-0.03,-0.0195,-0.02
p12083,0.0039,-0.0483,-0.0389,-0.03,-0.0167,-0.0203
p12085,0.0063,-0.0452,-0.0372,-0.0289,-0.0146,-0.019
p12086,0.0073,-0.0435,-0.0361,-0.028,-0.0132,-0.019
p12087,0.0067,-0.0437,-0.0361,-0.0281,-0.0134,-0.0187
p12089,0.0135,-0.0436,-0.0368,-0.0289,-0.0098,-0.0201
p12091,0.0042,-0.0431,-0.0337,-0.0296,-0.0138,-0.0178
p12093,0.0042,-0.0468,-0.0381,-0.029,-0.0163,-0.0196
p12095,0.0036,-0.0478,-0.0387,-0.0296,-0.0169,-0.02
p12097,0.0034,-0.0477,-0.0386,-0.0294,-0.017,-0.02
p12099,0.0063,-0.0449,-0.037,-0.0287,-0.0143,-0.019
p12101,0.0003,-0.05,-0.04,-0.03,-0.0198,-0.02
p12103,0.0,-0.05,-0.04,-0.03,-0.02,-0.02
p12105,0.0014,-0.0491,-0.0395,-0.03,-0.0188,-0.02
p12107,0.0074,-0.0467,-0.0381,-0.0296,-0.0142,-0.0203
p12109,0.0113,-0.0446,-0.0371,-0.029,-0.0114,-0.02
p12111,0.006,-0.0455,-0.0375,-0.029,-0.0148,-0.019
p12113,0.003,-0.042,-0.0325,-0.0294,-0.0143,-0.0165
p12115,0.0012,-0.049,-0.0393,-0.03,-0.0188,-0.02
p12117,0.005,-0.0472,-0.0382,-0.029,-0.0158,-0.02
p12119,0.0018,-0.049,-0.0393,-0.03,-0.0185,-0.02
p12121,-0.0001,-0.0555,-0.0423,-0.0337,-0.0203,-0.0242
p12123,-0.0054,-0.0627,-0.0461,-0.0368,-0.0253,-0.027
p12125,0.0052,-0.0493,-0.0395,-0.0308,-0.0157,-0.0218
p12127,0.0071,-0.046,-0.0378,-0.029,-0.0142,-0.02
p12129,-0.0088,-0.068,-0.0489,-0.0392,-0.0288,-0.0292
p12131,0.003,-0.0461,-0.036,-0.0305,-0.0153,-0.0197
p12133,0.0001,-0.0523,-0.0398,-0.0328,-0.0188,-0.0228
p13001,0.0208,-0.0348,-0.0319,-0.0245,-0.0024,-0.0174
p13003,0.0077,-0.0454,-0.0369,-0.0291,-0.0126,-0.021
p13005,0.0162,-0.0385,-0.0337,-0.0262,-0.006,-0.0185
p13007,-0.0018,-0.0546,-0.0416,-0.0334,-0.0206,-0.0242
p13009,0.0193,-0.0063,-0.015,-0.0115,0.0082,-0.0082
p13011,0.0183,0.0025,-0.0095,-0.007,0.011,-0.005
p13013,0.02,0.0107,-0.0052,-0.004,0.0153,-0.003
p13015,0.0191,0.008,-0.0066,-0.0053,0.014,-0.0037
p13017,0.0106,-0.0376,-0.0326,-0.0256,-0.0082,-0.0186
p13019,0.0042,-0.0488,-0.0387,-0.0307,-0.0157,-0.0221
p13021,0.0174,-0.0072,-0.0154,-0.0122,0.0072,-0.0084
p13023,0.0164,-0.0208,-0.023,-0.018,0.001,-0.0128
p13025,0.0173,-0.0406,-0.0353,-0.0276,-0.0067,-0.0193
p13027,-0.0047,-0.0616,-0.0455,-0.0364,-0.0247,-0.0269
p13029,0.0377,-0.0333,-0.0329,-0.0248,0.006,-0.017
p13031,0.0343,-0.0299,-0.0303,-0.0229,0.0058,-0.0159
p13033,0.0293,-0.0227,-0.0257,-0.0189,0.006,-0.0134
p13035,0.0193,0.0113,-0.0045,-0.0035,0.0158,-0.0025
